LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1766779936.555264,63694.000,8420,1,T1,1,100,24.373
1766780131.528374,63827.000,8438,1,T1,1,100,24.516
1766780326.501485,63960.000,8454,1,T1,1,100,24.542
1766780522.940558,64094.000,8486,1,T1,1,100,24.589
1766780717.913669,64227.000,8503,1,T1,1,100,24.432
1766780912.886779,64360.000,8519,1,T1,1,100,24.435
1766781109.325853,64494.000,8551,1,T1,1,100,24.472
1766781304.298963,64627.000,8570,1,T1,1,100,24.523
1766781499.272074,64760.000,8586,1,T1,1,100,24.581
1766781695.711147,64894.000,8604,1,T1,1,100,24.641
1766781890.684258,65027.000,8635,1,T1,1,100,24.561
1766782085.657368,65160.000,8652,1,T1,1,100,24.562
1766782282.096442,65294.000,8669,1,T1,1,100,24.669
1766782477.069552,65427.000,8703,1,T1,1,100,24.573
1766782672.042662,65560.000,8719,1,T1,1,100,24.567
1766782868.481736,65694.000,8736,1,T1,1,100,24.635
1766783063.454846,65827.000,8770,1,T1,1,100,24.559
1766783258.427957,65960.000,8786,1,T1,1,100,24.525
1766783454.867030,66094.000,8805,1,T1,1,100,24.688
1766783649.840141,66227.000,8839,1,T1,1,100,24.688
1766783844.813251,66360.000,8855,1,T1,1,100,24.688
1766784041.252325,66494.000,8875,1,T1,1,100,24.581
1766784236.225435,66627.000,8906,1,T1,1,100,24.642
1766784431.198545,66760.000,8922,1,T1,1,100,24.632
1766784626.171656,66893.000,8942,1,T1,1,100,24.805
1766784822.610729,67027.000,8958,1,T1,1,100,24.668
1766785017.583840,67160.000,8990,1,T1,1,100,24.608
1766785212.556950,67293.000,9007,1,T1,1,100,24.653
1766785408.996024,67427.000,9023,1,T1,1,100,24.779
1766785603.969134,67560.000,9055,1,T1,1,100,24.798
1766785798.942245,67693.000,9072,1,T1,1,100,24.771
1766785995.381318,67827.000,9091,1,T1,1,100,24.830
1766786190.354429,67960.000,9122,1,T1,1,100,24.820
1766786385.327539,68093.000,9139,1,T1,1,100,24.745
1766786581.766613,68227.000,9156,1,T1,1,100,24.783
1766786776.739723,68360.000,9187,1,T1,1,100,24.871
1766786971.712833,68493.000,9205,1,T1,1,100,24.838
1766787168.151907,68627.000,9223,1,T1,1,100,24.823
1766787363.125017,68760.000,9255,1,T1,1,100,24.888
1766787558.098128,68893.000,9272,1,T1,1,100,24.952
1766787754.537201,69027.000,9288,1,T1,1,100,24.979
1766787949.510312,69160.000,9305,1,T1,1,100,24.849
1766788144.483422,69293.000,9337,1,T1,1,100,24.899
1766788340.922496,69427.000,9353,1,T1,1,100,24.885
1766788535.895606,69560.000,9371,1,T1,1,100,24.773
1766788730.868716,69693.000,9404,1,T1,1,100,24.973
1766788927.307790,69827.000,9421,1,T1,1,100,24.988
1766789122.280900,69960.000,9438,1,T1,1,100,24.853
1766789317.254011,70093.000,9470,1,T1,1,100,24.830
1766789513.693084,70227.000,9486,1,T1,1,100,24.926
1766789708.666195,70360.000,9503,1,T1,1,100,24.968
1766789903.639305,70493.000,9535,1,T1,1,100,24.986
1766790098.612415,70626.000,9551,1,T1,1,100,24.852
1766790295.051489,70760.000,9568,1,T1,1,100,24.865
1766790490.024599,70893.000,9600,1,T1,1,100,24.871
1766790684.997710,71026.000,9618,1,T1,1,100,24.980
1766790881.436783,71160.000,9636,1,T1,1,100,24.991
1766791076.409894,71293.000,9654,1,T1,1,100,25.067
1766791271.383004,71426.000,9685,1,T1,1,100,25.064
1766791467.822078,71560.000,9703,1,T1,1,100,24.957
1766791662.795188,71693.000,9719,1,T1,1,100,25.017
1766791857.768298,71826.000,9751,1,T1,1,100,25.078
1766792054.207372,71960.000,9770,1,T1,1,100,24.998
1766792249.180482,72093.000,9786,1,T1,1,100,24.964
1766792444.153593,72226.000,9818,1,T1,1,100,25.020
1766792640.592666,72360.000,9835,1,T1,1,100,25.115
1766792835.565777,72493.000,9854,1,T1,1,100,24.943
1766793030.538887,72626.000,9887,1,T1,1,100,25.011
1766793226.977961,72760.000,9904,1,T1,1,100,25.147
1766793421.951071,72893.000,9921,1,T1,1,100,25.028
1766793616.924182,73026.000,9952,1,T1,1,100,24.977
1766793813.363255,73160.000,9970,1,T1,1,100,24.954
1766794008.336365,73293.000,9988,1,T1,1,100,25.087
1766794203.309476,73426.000,10022,1,T1,1,100,25.002
1766794398.282586,73559.000,10039,1,T1,1,100,25.072
1766794594.721660,73693.000,10055,1,T1,1,100,25.067
1766794789.694770,73826.000,10072,1,T1,1,100,25.064
1766794984.667881,73959.000,10106,1,T1,1,100,25.063
1766795181.106954,74093.000,10122,1,T1,1,100,25.063
1766795376.080065,74226.000,10140,1,T1,1,100,25.063
1766795572.519138,74360.000,10171,1,T1,1,100,25.063
1766795767.492249,74493.000,10188,1,T1,1,100,24.992
1766795962.465359,74626.000,10205,1,T1,1,100,25.067
1766796157.438469,74759.000,10237,1,T1,1,100,25.100
1766796353.877543,74893.000,10255,1,T1,1,100,25.185
1766796548.850653,75026.000,10272,1,T1,1,100,25.151
1766796743.823764,75159.000,10304,1,T1,1,100,25.172
1766796940.262837,75293.000,10322,1,T1,1,100,25.074
1766797135.235948,75426.000,10339,1,T1,1,100,25.032
1766797330.209058,75559.000,10371,1,T1,1,100,25.156
1766797526.648132,75693.000,10389,1,T1,1,100,25.174
1766797721.621242,75826.000,10407,1,T1,1,100,25.182
1766797916.594352,75959.000,10438,1,T1,1,100,25.185
1766798113.033426,76093.000,10454,1,T1,1,100,25.186
1766798308.006536,76226.000,10474,1,T1,1,100,25.187
1766798502.979647,76359.000,10505,1,T1,1,100,25.223
1766798699.418720,76493.000,10522,1,T1,1,100,25.203
1766798894.391831,76626.000,10539,1,T1,1,100,25.230
1766799089.364941,76759.000,10555,1,T1,1,100,25.170
1766799285.804015,76893.000,10589,1,T1,1,100,25.286
1766799480.777125,77026.000,10606,1,T1,1,100,25.195
1766799675.750236,77159.000,10625,1,T1,1,100,25.226
1766799870.723346,77292.000,10656,1,T1,1,100,25.133
1766800067.162420,77426.000,10673,1,T1,1,100,25.200
1766800262.135530,77559.000,10690,1,T1,1,100,25.122
1766800457.108640,77692.000,10721,1,T1,1,100,25.124
1766800653.547714,77826.000,10741,1,T1,1,100,25.231
1766800848.520824,77959.000,10757,1,T1,1,100,25.313
1766801043.493935,78092.000,10789,1,T1,1,100,25.277
1766801239.933008,78226.000,10806,1,T1,1,100,25.120
1766801434.906119,78359.000,10822,1,T1,1,100,25.158
1766801629.879229,78492.000,10856,1,T1,1,100,25.352
1766801826.318303,78626.000,10873,1,T1,1,100,25.365
1766802021.291413,78759.000,10889,1,T1,1,100,25.264
1766802216.264524,78892.000,10907,1,T1,1,100,25.363
1766802412.703597,79026.000,10938,1,T1,1,100,25.334
1766802607.676708,79159.000,10955,1,T1,1,100,25.216
1766802802.649818,79292.000,10972,1,T1,1,100,25.341
1766802999.088892,79426.000,11004,1,T1,1,100,25.360
1766803194.062002,79559.000,11020,1,T1,1,100,25.333
1766803389.035112,79692.000,11037,1,T1,1,100,25.286
1766803585.474186,79826.000,11069,1,T1,1,100,25.301
1766803780.447296,79959.000,11085,1,T1,1,100,25.308
1766803975.420407,80092.000,11102,1,T1,1,100,25.310
1766804171.859480,80226.000,11134,1,T1,1,100,25.276
1766804366.832591,80359.000,11150,1,T1,1,100,25.297
1766804561.805701,80492.000,11170,1,T1,1,100,25.306
1766804756.778811,80625.000,11201,1,T1,1,100,25.274
1766804953.217885,80759.000,11217,1,T1,1,100,25.296
1766805148.190995,80892.000,11235,1,T1,1,100,25.447
1766805343.164106,81025.000,11268,1,T1,1,100,25.371
1766805539.603179,81159.000,11285,1,T1,1,100,25.373
1766805734.576290,81292.000,11304,1,T1,1,100,25.339
1766805929.549400,81425.000,11320,1,T1,1,100,25.395
