LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1766716313.194847,897251.000,13478,1,B%,1,100,84
1766716318.200847,902257.000,14299,1,B%,1,100,83
1766716323.200847,907257.000,15110,1,B%,1,100,84
1766716328.199847,912256.000,15923,1,B%,1,100,84
1766716333.205847,917262.000,16742,1,B%,1,100,84
1766716338.205847,922262.000,17577,1,B%,1,100,85
1766716343.211847,927268.000,18379,1,B%,1,100,83
1766716348.210847,932267.000,19198,1,B%,1,100,84
1766716353.210847,937267.000,20010,1,B%,1,100,83
1766716358.216847,942273.000,20814,1,B%,1,100,83
1766716363.222847,947279.000,21632,1,B%,1,100,83
1766716368.228847,952285.000,22455,1,B%,1,100,83
1766716373.228847,957285.000,23266,1,B%,1,100,84
1766716378.227847,962284.000,24072,1,B%,1,100,83
1766716383.233847,967290.000,24880,1,B%,1,100,83
1766716388.233847,972290.000,25692,1,B%,1,100,83
1766716393.233847,977290.000,26527,1,B%,1,100,83
1766716398.232847,982289.000,27342,1,B%,1,100,82
1766716403.238847,987295.000,28152,1,B%,1,100,83
1766716408.238847,992295.000,28968,1,B%,1,100,83
1766716413.244847,997301.000,29803,1,B%,1,100,82
1766716418.250847,1002307.000,30617,1,B%,1,100,83
1766716423.256847,1007313.000,31432,1,B%,1,100,83
1766716428.256847,1012313.000,32247,1,B%,1,100,82
1766716433.255847,1017312.000,33076,1,B%,1,100,82
1766716438.255847,1022312.000,33899,1,B%,1,100,82
1766716443.254847,1027311.000,34715,1,B%,1,100,82
1766716448.254847,1032311.000,35534,1,B%,1,100,82
1766716453.260847,1037317.000,36345,1,B%,1,100,81
1766716458.259847,1042316.000,37180,1,B%,1,100,82
1766716463.272847,1047329.000,37991,1,B%,1,100,82
1766716468.278847,1052335.000,38811,1,B%,1,100,81
1766716473.278847,1057335.000,39629,1,B%,1,100,81
1766716478.277847,1062334.000,40462,1,B%,1,100,81
1766716483.290847,1067347.000,41261,1,B%,1,100,81
1766716488.296847,1072353.000,42100,1,B%,1,100,81
1766716493.296847,1077353.000,42918,1,B%,1,100,81
1766716498.295847,1082352.000,43732,1,B%,1,100,81
1766716503.308847,1087365.000,44554,1,B%,1,100,81
1766716508.308847,1092365.000,45389,1,B%,1,100,80
1766716513.307847,1097364.000,46204,1,B%,1,100,80
1766716518.313847,1102370.000,47021,1,B%,1,100,80
1766716523.320847,1107377.000,47839,1,B%,1,100,80
1766716528.319847,1112376.000,48674,1,B%,1,100,80
1766716533.318847,1117375.000,49489,1,B%,1,100,80
1766716538.325847,1122382.000,50308,1,B%,1,100,80
1766716543.338847,1127395.000,51126,1,B%,1,100,80
1766716548.337847,1132394.000,51971,1,B%,1,100,80
1766716553.337847,1137394.000,52778,1,B%,1,100,80
1766716558.343847,1142400.000,53593,1,B%,1,100,79
1766716563.349847,1147406.000,54422,1,B%,1,100,79
1766716568.355847,1152412.000,55230,1,B%,1,100,80
1766716573.361847,1157418.000,56041,1,B%,1,100,80
1766716578.361847,1162418.000,56844,1,B%,1,100,80
1766716583.360847,1167417.000,57671,1,B%,1,100,79
1766716588.366847,1172423.000,58482,1,B%,1,100,80
1766716593.366847,1177423.000,59299,1,B%,1,100,79
1766716598.365847,1182422.000,60118,1,B%,1,100,79
1766716603.372847,1187429.000,60951,1,B%,1,100,79
1766716608.384847,1192441.000,61765,1,B%,1,100,79
1766716613.390847,1197447.000,62566,1,B%,1,100,79
1766716618.390847,1202447.000,63375,1,B%,1,100,79
1766716623.390847,1207447.000,64202,1,B%,1,100,78
1766716628.389847,1212446.000,65017,1,B%,1,100,79
1766716633.388847,1217445.000,291,1,B%,1,100,79
1766716638.388847,1222445.000,1102,1,B%,1,100,78
1766716643.394847,1227451.000,1915,1,B%,1,100,78
1766716648.394847,1232451.000,2723,1,B%,1,100,78
1766716653.400847,1237457.000,3556,1,B%,1,100,78
