LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1766715476.100847,60157,7744,1,BI,1,100,360
1766715476.940847,60997,7893,1,BI,1,100,840
1766715478.140847,62197,8078,1,BI,1,100,1200
1766715479.379847,63436,8296,1,BI,1,100,1240
1766715480.633847,64690,8494,1,BI,1,100,1240
1766715481.873847,65930,8694,1,BI,1,100,1240
1766715482.312847,66369,8778,1,BI,1,100,440
1766715483.073847,67130,8895,1,BI,1,100,760
1766715484.312847,68369,9093,1,BI,1,100,1240
1766715485.566847,69623,9310,1,BI,1,100,1240
1766715486.765847,70822,9510,1,BI,1,100,1200
1766715488.045847,72102,9713,1,BI,1,100,1280
1766715488.365847,72422,9763,1,BI,1,100,320
1766715489.325847,73382,9929,1,BI,1,100,960
1766715490.538847,74595,10131,1,BI,1,100,1200
1766715491.618847,75675,10297,1,BI,1,100,1080
1766715491.858847,75915,10348,1,BI,1,100,240
1766715492.938847,76995,10516,1,BI,1,100,1080
1766715494.418847,78475,10761,1,BI,1,100,1480
1766715495.751847,79808,10976,1,BI,1,100,1320
1766715496.951847,81008,11175,1,BI,1,100,1200
1766715497.951847,82008,11342,1,BI,1,100,1000
1766715498.311847,82368,11392,1,BI,1,100,360
1766715499.111847,83168,11524,1,BI,1,100,800
1766715500.444847,84501,11739,1,BI,1,100,1320
1766715501.124847,85181,11857,1,BI,1,100,680
1766715502.044847,86101,12006,1,BI,1,100,920
1766715502.364847,86421,12056,1,BI,1,100,320
1766715503.244847,87301,12208,1,BI,1,100,880
1766715504.497847,88554,12410,1,BI,1,100,1240
1766715505.697847,89754,12607,1,BI,1,100,1200
1766715506.897847,90954,12805,1,BI,1,100,1200
1766715508.097847,92154,13005,1,BI,1,100,1200
1766715509.350847,93407,13202,1,BI,1,100,1240
1766715510.590847,94647,13400,1,BI,1,100,1240
1766715511.790847,95847,13600,1,BI,1,100,1200
1766715512.989847,97046,13799,1,BI,1,100,1200
1766715514.203847,98260,13997,1,BI,1,100,1200
1766715515.443847,99500,14194,1,BI,1,100,1240
1766715516.722847,100779,14408,1,BI,1,100,1280
1766715517.322847,101379,14507,1,BI,1,100,600
1766715518.162847,102219,14644,1,BI,1,100,840
1766715519.455847,103512,14857,1,BI,1,100,1280
1766715520.095847,104152,14957,1,BI,1,100,640
1766715520.975847,105032,15106,1,BI,1,100,880
1766715522.175847,106232,15304,1,BI,1,100,1200
1766715523.095847,107152,15456,1,BI,1,100,920
1766715523.495847,107552,15506,1,BI,1,100,400
1766715524.748847,108805,15721,1,BI,1,100,1240
1766715525.988847,110045,15918,1,BI,1,100,1240
1766715527.188847,111245,16116,1,BI,1,100,1200
1766715528.388847,112445,16318,1,BI,1,100,1200
1766715529.641847,113698,16517,1,BI,1,100,1240
1766715530.881847,114938,16715,1,BI,1,100,1240
1766715532.161847,116218,16929,1,BI,1,100,1280
1766715533.201847,117258,17095,1,BI,1,100,1040
1766715534.654847,118711,17326,1,BI,1,100,1440
1766715535.974847,120031,17541,1,BI,1,100,1320
1766715537.214847,121271,17755,1,BI,1,100,1240
1766715538.454847,122511,17955,1,BI,1,100,1240
1766715539.547847,123604,18136,1,BI,1,100,1080
1766715540.827847,124884,18334,1,BI,1,100,1280
1766715542.307847,126364,18581,1,BI,1,100,1480
1766715543.720847,127777,18812,1,BI,1,100,1400
1766715545.000847,129057,19012,1,BI,1,100,1280
1766715546.119847,130176,19193,1,BI,1,100,1120
1766715547.599847,131656,19439,1,BI,1,100,1480
1766715548.853847,132910,19640,1,BI,1,100,1240
1766715550.093847,134150,19854,1,BI,1,100,1240
1766715551.292847,135349,20036,1,BI,1,100,1200
1766715551.892847,135949,20135,1,BI,1,100,600
1766715552.372847,136429,20219,1,BI,1,100,480
1766715552.852847,136909,20305,1,BI,1,100,480
1766715553.745847,137802,20455,1,BI,1,100,880
1766715554.865847,138922,20635,1,BI,1,100,1120
1766715556.065847,140122,20817,1,BI,1,100,1200
1766715557.185847,141242,20999,1,BI,1,100,1120
1766715558.145847,142202,21151,1,BI,1,100,960
1766715558.598847,142655,21235,1,BI,1,100,440
1766715559.518847,143575,21384,1,BI,1,100,920
1766715560.598847,144655,21565,1,BI,1,100,1080
1766715561.758847,145815,21745,1,BI,1,100,1160
1766715562.638847,146695,21897,1,BI,1,100,880
1766715562.958847,147015,21951,1,BI,1,100,320
1766715564.091847,148148,22132,1,BI,1,100,1120
1766715564.971847,149028,22281,1,BI,1,100,880
1766715566.371847,150428,22510,1,BI,1,100,1400
1766715566.691847,150748,22563,1,BI,1,100,320
1766715567.531847,151588,22696,1,BI,1,100,840
1766715568.784847,152841,22895,1,BI,1,100,1240
1766715569.944847,154001,23093,1,BI,1,100,1160
1766715570.864847,154921,23242,1,BI,1,100,920
1766715571.864847,155921,23407,1,BI,1,100,1000
1766715572.863847,156920,23574,1,BI,1,100,1000
1766715573.397847,157454,23658,1,BI,1,100,520
1766715580.649847,164706,24825,1,BI,1,100,7240
1766715581.089847,165146,24892,1,BI,1,100,440
1766715581.369847,165426,24944,1,BI,1,100,280
1766715581.849847,165906,25027,1,BI,1,100,480
1766715582.291847,166348,25094,1,BI,1,100,440
1766715584.462847,168519,25458,1,BI,1,100,2160
1766715586.742847,170799,25819,1,BI,1,100,2280
1766715588.269847,172326,26068,1,BI,1,100,1520
1766715590.522847,174579,26432,1,BI,1,100,2240
1766715591.402847,175459,26580,1,BI,1,100,880
1766715592.321847,176378,26730,1,BI,1,100,920
1766715592.921847,176978,26831,1,BI,1,100,600
1766715593.561847,177618,26932,1,BI,1,100,640
1766715594.161847,178218,27031,1,BI,1,100,600
1766715595.015847,179072,27179,1,BI,1,100,840
1766715596.694847,180751,27442,1,BI,1,100,1680
1766715597.421847,181478,27560,1,BI,1,100,720
1766715598.174847,182231,27678,1,BI,1,100,760
1766715599.214847,183271,27860,1,BI,1,100,1040
1766715602.314847,186371,28351,1,BI,1,100,3080
1766715606.273847,190330,28992,1,BI,1,100,3960
1766715608.167847,192224,29307,1,BI,1,100,1880
1766715609.446847,193503,29504,1,BI,1,100,1280
1766715609.926847,193983,29589,1,BI,1,100,480
1766715610.446847,194503,29670,1,BI,1,100,520
