LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1766878936.160422,54099.250,6914,4,EM,1,100,RS
1766878864.525198,54149.500,6914,4,EM,1,100,RB
1766878792.889974,54199.750,6914,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766878721.254750,54250.000,6914,4,EM,1,100,PS
1766878648.550344,54301.000,6947,4,EM,1,100,RS
1766878575.845938,54352.000,6947,4,EM,1,100,RB
1766878503.141532,54403.000,6947,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766878430.437125,54454.000,6947,4,EM,1,100,PS
1766878358.801901,54504.250,6979,4,EM,1,100,RS
1766878287.166677,54554.500,6979,4,EM,1,100,RB
1766878215.531454,54604.750,6979,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766878143.896230,54655.000,6979,4,EM,1,100,PS
1766878072.261006,54705.250,7012,4,EM,1,100,RS
1766878000.625782,54755.500,7012,4,EM,1,100,RB
1766877928.990558,54805.750,7012,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766877857.355335,54856.000,7012,4,EM,1,100,PS
1766877785.720111,54906.250,7044,4,EM,1,100,RS
1766877714.084887,54956.500,7044,4,EM,1,100,RB
1766877642.449663,55006.750,7044,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766877570.814439,55057.000,7044,4,EM,1,100,PS
1766877499.179215,55107.250,7078,4,EM,1,100,RS
1766877427.543991,55157.500,7078,4,EM,1,100,RB
1766877355.908767,55207.750,7078,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766877284.273544,55258.000,7078,4,EM,1,100,PS
1766877212.638320,55308.250,7109,4,EM,1,100,RS
1766877141.003096,55358.500,7109,4,EM,1,100,RB
1766877069.367872,55408.750,7109,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766876997.732648,55459.000,7109,4,EM,1,100,PS
1766876926.097425,55509.250,7143,4,EM,1,100,RS
1766876854.462201,55559.500,7143,4,EM,1,100,RB
1766876782.826977,55609.750,7143,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766876711.191753,55660.000,7143,4,EM,1,100,PS
1766876639.556529,55710.250,7176,4,EM,1,100,RS
1766876567.921305,55760.500,7176,4,EM,1,100,RB
1766876496.286081,55810.750,7176,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766876424.650857,55861.000,7176,4,EM,1,100,PS
1766876353.015634,55911.250,7210,4,EM,1,100,RS
1766876281.380410,55961.500,7210,4,EM,1,100,RB
1766876209.745186,56011.750,7210,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766876138.109962,56062.000,7210,4,EM,1,100,PS
1766876066.474738,56112.250,7245,4,EM,1,100,RS
1766875994.839514,56162.500,7245,4,EM,1,100,RB
1766875923.204291,56212.750,7245,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766875851.569067,56263.000,7245,4,EM,1,100,PS
1766875778.864661,56314.000,7277,4,EM,1,100,RS
1766875706.160254,56365.000,7277,4,EM,1,100,RB
1766875633.455848,56416.000,7277,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766875560.751441,56467.000,7277,4,EM,1,100,PS
1766875489.116218,56517.250,7311,4,EM,1,100,RS
1766875417.480994,56567.500,7311,4,EM,1,100,RB
1766875345.845770,56617.750,7311,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766875274.210546,56668.000,7311,4,EM,1,100,PS
1766875202.575322,56718.250,7343,4,EM,1,100,RS
1766875130.940099,56768.500,7343,4,EM,1,100,RB
1766875059.304875,56818.750,7343,4,EM,1,100,2025-12-27_10-11-58-174531.csv
1766874987.669651,56869.000,7343,4,EM,1,100,PS
1766874916.034427,56919.250,7376,4,EM,1,100,RS
1766874844.399203,56969.500,7376,4,EM,1,100,RB
1766874772.763979,57019.750,7376,4,EM,1,100,2025-12-27_10-11-58-174531.csv
