LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1767253699.224030,386869,61419,1,SA,1,100,0.092531
1767254285.609325,387269,61503,1,SA,1,100,0.086545
1767257227.797539,389276,61852,1,SA,1,100,0.110110
1767260753.439121,391681,62217,1,SA,1,100,0.008157
1767261829.456137,392415,62352,1,SA,1,100,0.009471
1767266519.072528,395614,62864,1,SA,1,100,0.109956
1767271798.006141,399215,63479,1,SA,1,100,0.002643
1767272577.898582,399747,63546,1,SA,1,100,0.124316
1767282956.918293,406827,64719,1,SA,1,100,0.001806
1767285887.378801,408826,64984,1,SA,1,100,0.000088
1767286377.010522,409160,65052,1,SA,1,100,0.000100
1767286963.395816,409560,65121,1,SA,1,100,0.001093
1767290286.734472,411827,16,1,SA,1,100,0.010615
1767291166.312414,412427,120,1,SA,1,100,0.017821
1767301640.619734,419572,1230,1,SA,1,100,0.000648
1767303204.802507,420639,1411,1,SA,1,100,0.000177
1767303692.968265,420972,1530,1,SA,1,100,0.005137
1767306830.129589,423112,1799,1,SA,1,100,0.004946
1767307318.295347,423445,1902,1,SA,1,100,0.010651
1767308979.231693,424578,2056,1,SA,1,100,0.038828
1767312009.377702,426645,2453,1,SA,1,100,0.014257
1767316112.608799,429444,3006,1,SA,1,100,0.004571
1767318653.123087,431177,3190,1,SA,1,100,0.001518
1767321203.899117,432917,3423,1,SA,1,100,0.000066
1767321693.530838,433251,3495,1,SA,1,100,0.000246
1767322183.162559,433585,3529,1,SA,1,100,0.000049
1767322476.355206,433785,3582,1,SA,1,100,0.000402
1767324234.045126,434984,3766,1,SA,1,100,0.000033
1767328054.345319,437590,4294,1,SA,1,100,0.001225
1767329715.281665,438723,4380,1,SA,1,100,0.000149
1767330594.859607,439323,4547,1,SA,1,100,0.000767
1767331670.876622,440057,4616,1,SA,1,100,0.000375
1767332940.400784,440923,4737,1,SA,1,100,0.000107
1767334014.951836,441656,4871,1,SA,1,100,0.000073
1767335187.722425,442456,5023,1,SA,1,100,0.000681
1767335774.107719,442856,5058,1,SA,1,100,0.000148
1767336850.124734,443590,5209,1,SA,1,100,0.000303
1767338129.910639,444463,5344,1,SA,1,100,0.000413
1767342460.366038,447417,5813,1,SA,1,100,0.000050
1767349104.111423,451949,6561,1,SA,1,100,0.104196
1767349787.250291,452415,6677,1,SA,1,100,0.145345
1767355554.349661,456349,7274,1,SA,1,100,0.000893
1767358778.002817,458548,7685,1,SA,1,100,0.003994
1767360928.570884,460015,7883,1,SA,1,100,0.001029
1767362687.726767,461215,8116,1,SA,1,100,0.012549
1767370797.435389,466747,8956,1,SA,1,100,0.000056
1767371287.067109,467081,9010,1,SA,1,100,0.000050
1767371580.259757,467281,9046,1,SA,1,100,0.000094
1767372068.425514,467614,9113,1,SA,1,100,0.000081
1767374218.993581,469081,9401,1,SA,1,100,0.000741
1767375391.764170,469881,9567,1,SA,1,100,0.004623
1767377149.454090,471080,9735,1,SA,1,100,0.002003
1767379895.203231,472953,10013,1,SA,1,100,0.000630
