LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1766787842.894034,117294.000,17065,2,MY,1,100,-5
1766787842.934034,117334.000,17081,3,MY,1,100,-5
1766787842.974034,117374.000,17081,3,MY,1,100,-5
1766787843.014034,117414.000,17081,3,MY,1,100,-5
1766787843.054034,117454.000,17099,2,MY,1,100,-5
1766787843.094034,117494.000,17099,2,MY,1,100,-5
1766787843.134034,117534.000,17115,3,MY,1,100,-5
1766787843.174034,117574.000,17115,3,MY,1,100,-5
1766787843.214034,117614.000,17115,3,MY,1,100,-5
1766787843.254034,117654.000,17132,3,MY,1,100,-6
1766787843.294034,117694.000,17132,3,MY,1,100,-6
1766787843.334034,117734.000,17132,3,MY,1,100,-6
1766787843.367534,117767.500,17151,2,MY,1,100,-6
1766787843.401034,117801.000,17151,2,MY,1,100,-6
1766787843.441034,117841.000,17166,3,MY,1,100,-4
1766787843.481034,117881.000,17166,3,MY,1,100,-5
1766787843.521034,117921.000,17166,3,MY,1,100,-6
1766787843.560534,117960.500,17187,2,MY,1,100,-5
1766787843.600034,118000.000,17187,2,MY,1,100,-6
1766787843.640368,118040.333,17204,3,MY,1,100,-5
1766787843.680701,118080.667,17204,3,MY,1,100,-5
1766787843.721034,118121.000,17204,3,MY,1,100,-6
1766787843.761034,118161.000,17221,3,MY,1,100,-6
1766787843.801034,118201.000,17221,3,MY,1,100,-5
1766787843.841034,118241.000,17221,3,MY,1,100,-6
1766787843.881034,118281.000,17237,2,MY,1,100,-5
1766787843.921034,118321.000,17237,2,MY,1,100,-6
1766787843.960701,118360.667,17254,3,MY,1,100,-5
1766787844.000367,118400.333,17254,3,MY,1,100,-6
1766787844.040034,118440.000,17254,3,MY,1,100,-6
1766787844.080034,118480.000,17274,2,MY,1,100,-5
1766787844.120034,118520.000,17274,2,MY,1,100,-5
1766787844.156034,118556.000,17290,3,MY,1,100,-5
1766787844.192034,118592.000,17290,3,MY,1,100,-5
1766787844.228034,118628.000,17290,3,MY,1,100,-5
1766787844.268034,118668.000,17307,3,MY,1,100,-6
1766787844.308034,118708.000,17307,3,MY,1,100,-6
1766787844.348034,118748.000,17307,3,MY,1,100,-6
1766787844.388034,118788.000,17322,2,MY,1,100,-6
1766787844.428034,118828.000,17322,2,MY,1,100,-4
1766787844.468034,118868.000,17341,3,MY,1,100,-5
1766787844.508034,118908.000,17341,3,MY,1,100,-5
1766787844.548034,118948.000,17341,3,MY,1,100,-5
1766787844.588034,118988.000,17357,2,MY,1,100,-5
1766787844.628034,119028.000,17357,2,MY,1,100,-5
1766787844.668034,119068.000,17375,3,MY,1,100,-5
1766787844.708034,119108.000,17375,3,MY,1,100,-5
1766787844.748034,119148.000,17375,3,MY,1,100,-5
1766787844.788034,119188.000,17391,2,MY,1,100,-5
1766787844.828034,119228.000,17391,2,MY,1,100,-4
1766787844.868034,119268.000,17408,3,MY,1,100,-5
1766787844.908034,119308.000,17408,3,MY,1,100,-5
