LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1766715510.590847,94647,13401,1,HR,1,100,58.99
1766715511.790847,95847,13601,1,HR,1,100,56.99
1766715512.989847,97046,13800,1,HR,1,100,55.44
1766715514.203847,98260,13998,1,HR,1,100,54.23
1766715515.443847,99500,14195,1,HR,1,100,52.93
1766715516.722847,100779,14409,1,HR,1,100,51.58
1766715517.322847,101379,14508,1,HR,1,100,62.34
1766715518.162847,102219,14645,1,HR,1,100,64.36
1766715519.455847,103512,14858,1,HR,1,100,60.48
1766715520.095847,104152,14958,1,HR,1,100,67.87
1766715520.975847,105032,15107,1,HR,1,100,67.94
1766715522.175847,106232,15305,1,HR,1,100,63.95
1766715523.095847,107152,15457,1,HR,1,100,64.23
1766715523.495847,107552,15507,1,HR,1,100,83.29
1766715524.748847,108805,15722,1,HR,1,100,75.54
1766715525.988847,110045,15919,1,HR,1,100,69.50
1766715527.188847,111245,16117,1,HR,1,100,65.17
1766715528.388847,112445,16319,1,HR,1,100,61.80
1766715529.641847,113698,16518,1,HR,1,100,58.82
1766715530.881847,114938,16716,1,HR,1,100,56.50
1766715532.161847,116218,16930,1,HR,1,100,54.36
1766715533.201847,117258,17096,1,HR,1,100,55.10
1766715534.654847,118711,17327,1,HR,1,100,52.12
1766715535.974847,120031,17542,1,HR,1,100,50.64
1766715537.214847,121271,17756,1,HR,1,100,50.14
1766715538.454847,122511,17956,1,HR,1,100,49.75
1766715539.547847,123604,18137,1,HR,1,100,51.04
1766715540.827847,124884,18335,1,HR,1,100,50.11
1766715542.307847,126364,18582,1,HR,1,100,47.99
1766715543.720847,127777,18813,1,HR,1,100,46.85
1766715545.000847,129057,19013,1,HR,1,100,46.85
1766715546.119847,130176,19194,1,HR,1,100,48.35
1766715547.599847,131656,19440,1,HR,1,100,46.61
1766715548.853847,132910,19641,1,HR,1,100,47.01
1766715550.093847,134150,19855,1,HR,1,100,47.31
1766715551.292847,135349,20037,1,HR,1,100,47.91
1766715551.892847,135949,20136,1,HR,1,100,59.49
1766715552.372847,136429,20220,1,HR,1,100,74.05
1766715552.852847,136909,20306,1,HR,1,100,85.37
1766715553.745847,137802,20456,1,HR,1,100,81.55
1766715554.865847,138922,20636,1,HR,1,100,75.33
1766715556.065847,140122,20818,1,HR,1,100,69.70
1766715557.185847,141242,21000,1,HR,1,100,66.12
1766715558.145847,142202,21152,1,HR,1,100,65.31
1766715558.598847,142655,21236,1,HR,1,100,81.10
1766715559.518847,143575,21385,1,HR,1,100,77.57
1766715560.598847,144655,21566,1,HR,1,100,72.68
1766715561.758847,145815,21746,1,HR,1,100,68.02
1766715562.638847,146695,21898,1,HR,1,100,68.06
1766715562.958847,147015,21952,1,HR,1,100,94.60
1766715564.091847,148148,22133,1,HR,1,100,85.48
1766715564.971847,149028,22282,1,HR,1,100,81.64
1766715566.371847,150428,22511,1,HR,1,100,73.02
1766715566.691847,150748,22564,1,HR,1,100,98.46
1766715567.531847,151588,22697,1,HR,1,100,92.45
1766715568.784847,152841,22896,1,HR,1,100,82.66
1766715569.944847,154001,23094,1,HR,1,100,75.79
1766715570.864847,154921,23243,1,HR,1,100,73.44
1766715571.864847,155921,23408,1,HR,1,100,70.45
1766715572.863847,156920,23575,1,HR,1,100,68.13
1766715573.397847,157454,23659,1,HR,1,100,78.63
1766715580.649847,164706,24826,1,HR,1,100,63.00
