LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1766633912.755182,50625.000,6165,2,GY,1,100,-0.458
1766633912.795178,50665.000,6165,2,GY,1,100,-0.854
1766633912.830509,50700.333,6181,3,GY,1,100,-1.190
1766633912.865839,50735.667,6181,3,GY,1,100,0.336
1766633912.901170,50771.000,6181,3,GY,1,100,1.221
1766633912.941167,50811.000,6198,2,GY,1,100,1.160
1766633912.981164,50851.000,6198,2,GY,1,100,0.397
1766633913.021160,50891.000,6214,3,GY,1,100,0.061
1766633913.061157,50931.000,6214,3,GY,1,100,-0.214
1766633913.101154,50971.000,6214,3,GY,1,100,-0.763
1766633913.141150,51011.000,6230,2,GY,1,100,-0.153
1766633913.181147,51051.000,6230,2,GY,1,100,0.305
1766633913.221144,51091.000,6246,3,GY,1,100,-0.641
1766633913.261141,51131.000,6246,3,GY,1,100,-1.038
1766633913.301138,51171.000,6246,3,GY,1,100,-1.556
1766633913.341134,51211.000,6263,3,GY,1,100,-2.136
1766633913.381131,51251.000,6263,3,GY,1,100,-1.465
1766633913.421128,51291.000,6263,3,GY,1,100,-1.617
1766633913.461125,51331.000,6279,2,GY,1,100,-2.014
1766633913.501122,51371.000,6279,2,GY,1,100,-1.312
1766633913.541118,51411.000,6297,3,GY,1,100,-0.397
1766633913.581115,51451.000,6297,3,GY,1,100,-0.275
1766633913.621112,51491.000,6297,3,GY,1,100,-0.458
1766633913.656775,51526.667,6311,3,GY,1,100,-0.793
1766633913.692439,51562.333,6311,3,GY,1,100,-1.099
1766633913.728103,51598.000,6311,3,GY,1,100,-0.885
1766633913.768100,51638.000,6328,2,GY,1,100,-1.099
1766633913.808097,51678.000,6328,2,GY,1,100,-1.221
1766633913.848093,51718.000,6345,3,GY,1,100,-1.099
1766633913.888090,51758.000,6345,3,GY,1,100,-0.671
1766633913.928087,51798.000,6345,3,GY,1,100,-0.336
1766633913.968084,51838.000,6364,2,GY,1,100,-0.031
1766633914.008080,51878.000,6364,2,GY,1,100,0.061
1766633914.048077,51918.000,6378,3,GY,1,100,-0.610
1766633914.088074,51958.000,6378,3,GY,1,100,-0.519
1766633914.128071,51998.000,6378,3,GY,1,100,-1.068
1766633914.168067,52038.000,6396,2,GY,1,100,-0.183
1766633914.208064,52078.000,6396,2,GY,1,100,-0.031
1766633914.248061,52118.000,6412,3,GY,1,100,-0.031
1766633914.288058,52158.000,6412,3,GY,1,100,-0.244
1766633914.328055,52198.000,6412,3,GY,1,100,-0.244
1766633914.368051,52238.000,6429,2,GY,1,100,-1.099
1766633914.408048,52278.000,6429,2,GY,1,100,-0.458
1766633914.443378,52313.333,6443,3,GY,1,100,-0.763
1766633914.478709,52348.667,6443,3,GY,1,100,-0.916
1766633914.514040,52384.000,6443,3,GY,1,100,-0.702
1766633914.554036,52424.000,6461,3,GY,1,100,-0.671
1766633914.594033,52464.000,6461,3,GY,1,100,-0.305
