LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1766633907.822581,45692.000,5355,3,AZ,1,100,0.471
1766633907.862577,45732.000,5373,3,AZ,1,100,0.483
1766633907.902574,45772.000,5373,3,AZ,1,100,0.466
1766633907.942571,45812.000,5373,3,AZ,1,100,0.477
1766633907.982568,45852.000,5389,2,AZ,1,100,0.474
1766633908.022564,45892.000,5389,2,AZ,1,100,0.473
1766633908.062895,45932.333,5405,3,AZ,1,100,0.476
1766633908.103225,45972.667,5405,3,AZ,1,100,0.465
1766633908.143555,46013.000,5405,3,AZ,1,100,0.473
1766633908.183052,46052.500,5421,2,AZ,1,100,0.465
1766633908.222548,46092.000,5421,2,AZ,1,100,0.472
1766633908.262545,46132.000,5438,3,AZ,1,100,0.473
1766633908.302542,46172.000,5438,3,AZ,1,100,0.473
1766633908.342539,46212.000,5438,3,AZ,1,100,0.471
1766633908.382535,46252.000,5454,2,AZ,1,100,0.469
1766633908.422532,46292.000,5454,2,AZ,1,100,0.469
1766633908.462529,46332.000,5472,3,AZ,1,100,0.469
1766633908.502526,46372.000,5472,3,AZ,1,100,0.464
1766633908.542522,46412.000,5472,3,AZ,1,100,0.465
1766633908.582519,46452.000,5486,2,AZ,1,100,0.464
1766633908.622516,46492.000,5486,2,AZ,1,100,0.462
1766633908.657846,46527.333,5503,3,AZ,1,100,0.467
1766633908.693177,46562.667,5503,3,AZ,1,100,0.463
1766633908.728507,46598.000,5503,3,AZ,1,100,0.463
1766633908.768504,46638.000,5519,3,AZ,1,100,0.462
1766633908.808501,46678.000,5519,3,AZ,1,100,0.466
1766633908.848498,46718.000,5519,3,AZ,1,100,0.467
1766633908.888494,46758.000,5539,2,AZ,1,100,0.472
1766633908.928491,46798.000,5539,2,AZ,1,100,0.463
1766633908.968488,46838.000,5553,3,AZ,1,100,0.475
1766633909.008485,46878.000,5553,3,AZ,1,100,0.461
1766633909.048481,46918.000,5553,3,AZ,1,100,0.470
1766633909.088478,46958.000,5570,3,AZ,1,100,0.467
1766633909.128475,46998.000,5570,3,AZ,1,100,0.467
1766633909.168472,47038.000,5570,3,AZ,1,100,0.465
1766633909.208468,47078.000,5587,2,AZ,1,100,0.469
1766633909.248465,47118.000,5587,2,AZ,1,100,0.468
1766633909.288462,47158.000,5604,3,AZ,1,100,0.470
1766633909.328459,47198.000,5604,3,AZ,1,100,0.467
1766633909.368456,47238.000,5604,3,AZ,1,100,0.475
1766633909.408452,47278.000,5618,2,AZ,1,100,0.472
1766633909.448449,47318.000,5618,2,AZ,1,100,0.461
