LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1766633915.047996,52918.000,6533,3,PG,1,100,12653
1766633915.087993,52958.000,6533,3,PG,1,100,12669
1766633915.127990,52998.000,6533,3,PG,1,100,12691
1766633915.167987,53038.000,6551,3,PG,1,100,12707
1766633915.207983,53078.000,6551,3,PG,1,100,12712
1766633915.247980,53118.000,6551,3,PG,1,100,12717
1766633915.287977,53158.000,6567,2,PG,1,100,12716
1766633915.327974,53198.000,6567,2,PG,1,100,12740
1766633915.367970,53238.000,6583,3,PG,1,100,12750
1766633915.407967,53278.000,6583,3,PG,1,100,12740
1766633915.447964,53318.000,6583,3,PG,1,100,12765
1766633915.487961,53358.000,6599,2,PG,1,100,12772
1766633915.527957,53398.000,6599,2,PG,1,100,12773
1766633915.567954,53438.000,6616,3,PG,1,100,12779
1766633915.607951,53478.000,6616,3,PG,1,100,12794
1766633915.647948,53518.000,6616,3,PG,1,100,12799
1766633915.687945,53558.000,6632,2,PG,1,100,12821
1766633915.727941,53598.000,6632,2,PG,1,100,12821
1766633915.767938,53638.000,6649,3,PG,1,100,12823
1766633915.807935,53678.000,6649,3,PG,1,100,12824
1766633915.847932,53718.000,6649,3,PG,1,100,12818
1766633915.887928,53758.000,6664,2,PG,1,100,12839
1766633915.927925,53798.000,6664,2,PG,1,100,12862
1766633915.967922,53838.000,6681,3,PG,1,100,12887
1766633916.007919,53878.000,6681,3,PG,1,100,12903
1766633916.047915,53918.000,6681,3,PG,1,100,12918
1766633916.087912,53958.000,6697,2,PG,1,100,12916
1766633916.127909,53998.000,6697,2,PG,1,100,12888
1766633916.167906,54038.000,6715,3,PG,1,100,12854
1766633916.207902,54078.000,6715,3,PG,1,100,12840
1766633916.247899,54118.000,6715,3,PG,1,100,12854
1766633916.287896,54158.000,6729,2,PG,1,100,12867
1766633916.327893,54198.000,6729,2,PG,1,100,12881
1766633916.367890,54238.000,6748,3,PG,1,100,12919
1766633916.407886,54278.000,6748,3,PG,1,100,12931
1766633916.447883,54318.000,6748,3,PG,1,100,12937
