LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1766863990.941245,251300.000,39179,1,BV,1,100,3.81
1766863995.957333,256313.000,39987,1,BV,1,100,3.80
1766864000.960412,261313.000,40798,1,BV,1,100,3.80
1766864005.962491,266312.000,41611,1,BV,1,100,3.80
1766864010.965571,271312.000,42420,1,BV,1,100,3.80
1766864015.967650,276311.000,43248,1,BV,1,100,3.80
1766864020.970730,281311.000,44061,1,BV,1,100,3.80
1766864025.972809,286310.000,44873,1,BV,1,100,3.80
1766864030.981892,291316.000,45698,1,BV,1,100,3.80
1766864035.990976,296322.000,46507,1,BV,1,100,3.80
1766864040.994055,301322.000,47314,1,BV,1,100,3.80
1766864045.996134,306321.000,48117,1,BV,1,100,3.80
1766864050.999214,311321.000,48920,1,BV,1,100,3.80
1766864056.001293,316320.000,49743,1,BV,1,100,3.80
1766864061.004373,321320.000,50529,1,BV,1,100,3.80
1766864066.007452,326320.000,51350,1,BV,1,100,3.80
1766864071.009531,331319.000,52155,1,BV,1,100,3.80
1766864076.011611,336318.000,52960,1,BV,1,100,3.80
1766864081.014690,341318.000,53769,1,BV,1,100,3.80
1766864086.017770,346318.000,54577,1,BV,1,100,3.79
1766864091.019849,351317.000,55402,1,BV,1,100,3.80
1766864096.028932,356323.000,56208,1,BV,1,100,3.79
1766864101.052024,361343.000,57020,1,BV,1,100,3.79
1766864106.054103,366342.000,57851,1,BV,1,100,3.79
1766864111.070191,371355.000,58670,1,BV,1,100,3.79
1766864116.079274,376361.000,59475,1,BV,1,100,3.80
1766864121.088358,381367.000,60290,1,BV,1,100,3.80
1766864126.097441,386373.000,61123,1,BV,1,100,3.79
1766864131.100521,391373.000,61943,1,BV,1,100,3.80
1766864136.102600,396372.000,62757,1,BV,1,100,3.80
1766864141.125692,401392.000,63569,1,BV,1,100,3.79
1766864146.134775,406398.000,64408,1,BV,1,100,3.79
1766864151.137855,411398.000,65215,1,BV,1,100,3.79
1766864156.139934,416397.000,492,1,BV,1,100,3.79
1766864161.143014,421397.000,1309,1,BV,1,100,3.79
1766864166.145093,426396.000,2144,1,BV,1,100,3.79
1766864171.148172,431396.000,2962,1,BV,1,100,3.79
1766864176.157256,436402.000,3784,1,BV,1,100,3.78
1766864181.166339,441408.000,4605,1,BV,1,100,3.79
1766864186.168418,446407.000,5436,1,BV,1,100,3.79
1766864191.171498,451407.000,6263,1,BV,1,100,3.79
1766864196.173577,456406.000,7081,1,BV,1,100,3.79
1766864201.183661,461413.000,7894,1,BV,1,100,3.79
1766864206.185740,466412.000,8703,1,BV,1,100,3.78
1766864211.188820,471412.000,9526,1,BV,1,100,3.78
1766864216.203907,476424.000,10333,1,BV,1,100,3.78
1766864221.212990,481430.000,11151,1,BV,1,100,3.78
1766864226.229078,486443.000,11959,1,BV,1,100,3.78
1766864231.238161,491449.000,12782,1,BV,1,100,3.78
1766864236.248245,496456.000,13595,1,BV,1,100,3.78
1766864241.250324,501455.000,14413,1,BV,1,100,3.78
1766864246.266412,506468.000,15246,1,BV,1,100,3.78
1766864251.268491,511467.000,16057,1,BV,1,100,3.78
1766864256.271571,516467.000,16867,1,BV,1,100,3.78
1766864261.287658,521480.000,17677,1,BV,1,100,3.77
1766864266.289737,526479.000,18513,1,BV,1,100,3.78
1766864271.299821,531486.000,19327,1,BV,1,100,3.78
1766864276.308905,536492.000,20137,1,BV,1,100,3.78
1766864281.317988,541498.000,20956,1,BV,1,100,3.77
1766864286.320067,546497.000,21767,1,BV,1,100,3.77
1766864291.329151,551503.000,22602,1,BV,1,100,3.77
1766864296.332230,556503.000,23419,1,BV,1,100,3.77
1766864301.348318,561516.000,24233,1,BV,1,100,3.78
1766864306.357401,566522.000,25055,1,BV,1,100,3.77
1766864311.359480,571521.000,25884,1,BV,1,100,3.77
1766864316.369564,576528.000,26700,1,BV,1,100,3.77
1766864321.384651,581540.000,27505,1,BV,1,100,3.77
1766864326.394735,586547.000,28337,1,BV,1,100,3.77
1766864331.409822,591559.000,29153,1,BV,1,100,3.77
1766864336.419906,596566.000,29963,1,BV,1,100,3.77
1766864341.421986,601565.000,30776,1,BV,1,100,3.77
1766864346.431069,606571.000,31611,1,BV,1,100,3.77
1766864351.440152,611577.000,32429,1,BV,1,100,3.77
1766864356.443232,616577.000,33240,1,BV,1,100,3.77
1766864361.459320,621590.000,34056,1,BV,1,100,3.77
1766864366.461399,626589.000,34861,1,BV,1,100,3.77
1766864371.464478,631589.000,35694,1,BV,1,100,3.77
1766864376.480566,636602.000,36508,1,BV,1,100,3.77
1766864381.482645,641601.000,37325,1,BV,1,100,3.77
1766864386.485725,646601.000,38139,1,BV,1,100,3.77
1766864391.494808,651607.000,38962,1,BV,1,100,3.77
1766864396.496887,656606.000,39764,1,BV,1,100,3.77
1766864401.505971,661612.000,40576,1,BV,1,100,3.77
1766864406.509050,666612.000,41398,1,BV,1,100,3.77
1766864411.511129,671611.000,42235,1,BV,1,100,3.77
1766864416.514209,676611.000,43057,1,BV,1,100,3.76
1766864421.530297,681624.000,43865,1,BV,1,100,3.76
1766864426.539380,686630.000,44671,1,BV,1,100,3.76
1766864431.541459,691629.000,45496,1,BV,1,100,3.76
1766864436.544539,696629.000,46304,1,BV,1,100,3.76
1766864441.546618,701628.000,47118,1,BV,1,100,3.76
1766864446.549698,706628.000,47925,1,BV,1,100,3.76
1766864451.551777,711627.000,48738,1,BV,1,100,3.76
1766864456.554856,716627.000,49569,1,BV,1,100,3.76
1766864461.557936,721627.000,50386,1,BV,1,100,3.76
1766864466.560015,726626.000,51194,1,BV,1,100,3.76
1766864471.562094,731625.000,52005,1,BV,1,100,3.75
1766864476.572178,736632.000,52810,1,BV,1,100,3.75
1766864481.574257,741631.000,53613,1,BV,1,100,3.75
1766864486.583341,746637.000,54446,1,BV,1,100,3.76
1766864491.592424,751643.000,55254,1,BV,1,100,3.75
1766864496.595504,756643.000,56064,1,BV,1,100,3.74
1766864501.604587,761649.000,56870,1,BV,1,100,3.74
1766864506.607667,766649.000,57697,1,BV,1,100,3.74
1766864511.609746,771648.000,58502,1,BV,1,100,3.74
1766864516.618829,776654.000,59313,1,BV,1,100,3.74
1766864521.634917,781667.000,60129,1,BV,1,100,3.74
1766864526.644000,786673.000,60952,1,BV,1,100,3.74
1766864531.647080,791673.000,61765,1,BV,1,100,3.74
