LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1766715544.705847,128762.000,18962,1,SF,1,100,5.9911
1766715545.105847,129162.000,19029,1,SF,1,100,5.9218
1766715545.372847,129429.000,19079,1,SF,1,100,5.8533
1766715545.705847,129762.000,19128,1,SF,1,100,5.7856
1766715546.105847,130162.000,19195,1,SF,1,100,5.7186
1766715546.371847,130428.000,19243,1,SF,1,100,5.6525
1766715546.705847,130762.000,19293,1,SF,1,100,5.5871
1766715547.038847,131095.000,19342,1,SF,1,100,5.5225
1766715547.438847,131495.000,19407,1,SF,1,100,5.4586
1766715547.705847,131762.000,19458,1,SF,1,100,5.3954
1766715548.038847,132095.000,19508,1,SF,1,100,5.3330
1766715548.438847,132495.000,19573,1,SF,1,100,5.2713
1766715548.705847,132762.000,19624,1,SF,1,100,5.2103
1766715549.038847,133095.000,19674,1,SF,1,100,5.1501
1766715549.371847,133428.000,19723,1,SF,1,100,5.0905
1766715549.771847,133828.000,19788,1,SF,1,100,5.0316
1766715550.038847,134095.000,19838,1,SF,1,100,4.9734
1766715550.371847,134428.000,19889,1,SF,1,100,4.9159
1766715550.771847,134828.000,19954,1,SF,1,100,4.8590
1766715551.038847,135095.000,20002,1,SF,1,100,4.8028
1766715551.371847,135428.000,20054,1,SF,1,100,4.7472
1766715551.704847,135761.000,20103,1,SF,1,100,4.6923
1766715552.104847,136161.000,20170,1,SF,1,100,4.6380
1766715552.371847,136428.000,20221,1,SF,1,100,4.5844
1766715552.704847,136761.000,20269,1,SF,1,100,4.5314
1766715553.104847,137161.000,20338,1,SF,1,100,4.4789
1766715553.371847,137428.000,20389,1,SF,1,100,4.4271
1766715553.704847,137761.000,20437,1,SF,1,100,4.3759
1766715554.037847,138094.000,20488,1,SF,1,100,4.3253
1766715554.437847,138494.000,20553,1,SF,1,100,4.2753
1766715554.704847,138761.000,20603,1,SF,1,100,4.2258
1766715555.037847,139094.000,20654,1,SF,1,100,4.1769
1766715555.437847,139494.000,20719,1,SF,1,100,4.1286
1766715555.704847,139761.000,20767,1,SF,1,100,4.0808
1766715556.037847,140094.000,20819,1,SF,1,100,4.0336
1766715556.370847,140427.000,20868,1,SF,1,100,3.9870
1766715556.770847,140827.000,20933,1,SF,1,100,3.9408
1766715557.037847,141094.000,20982,1,SF,1,100,3.8953
1766715557.370847,141427.000,21035,1,SF,1,100,3.8502
1766715557.704847,141761.000,21083,1,SF,1,100,3.8057
1766715558.037847,142094.000,21134,1,SF,1,100,3.7616
1766715558.437847,142494.000,21201,1,SF,1,100,3.7181
1766715558.704847,142761.000,21253,1,SF,1,100,3.6751
1766715559.037847,143094.000,21302,1,SF,1,100,3.6326
1766715559.437847,143494.000,21367,1,SF,1,100,3.5906
1766715559.703847,143760.000,21417,1,SF,1,100,3.5490
