LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1766884077.146014,50493.000,6301,1,EA,1,100,0.030105
1766883982.345171,50559.500,6320,2,EA,1,100,0.030358
1766883887.544327,50626.000,6320,2,EA,1,100,0.035058
1766883792.030695,50693.000,6336,1,EA,1,100,0.034419
1766883697.229852,50759.500,6352,2,EA,1,100,0.031878
1766883602.429008,50826.000,6352,2,EA,1,100,0.030563
1766883506.915377,50893.000,6368,1,EA,1,100,0.030114
1766883412.114533,50959.500,6385,2,EA,1,100,0.031159
1766883317.313690,51026.000,6385,2,EA,1,100,0.035060
1766883221.800058,51093.000,6401,1,EA,1,100,0.032760
1766883126.999214,51159.500,6419,2,EA,1,100,0.030773
1766883032.198371,51226.000,6419,2,EA,1,100,0.030165
1766882936.684739,51293.000,6437,1,EA,1,100,0.030784
1766882841.883896,51359.500,6454,2,EA,1,100,0.030308
1766882747.083052,51426.000,6454,2,EA,1,100,0.030106
1766882651.569420,51493.000,6471,1,EA,1,100,0.030105
1766882556.768577,51559.500,6486,2,EA,1,100,0.030106
1766882461.967733,51626.000,6486,2,EA,1,100,0.030106
1766882366.454101,51693.000,6502,1,EA,1,100,0.030106
1766882271.653258,51759.500,6522,2,EA,1,100,0.030107
1766882176.852414,51826.000,6522,2,EA,1,100,0.030106
1766882081.338783,51893.000,6538,1,EA,1,100,0.030105
1766881986.537939,51959.500,6554,2,EA,1,100,0.030105
1766881891.737096,52026.000,6554,2,EA,1,100,0.030105
1766881796.223464,52093.000,6569,1,EA,1,100,0.030105
1766881701.422620,52159.500,6587,2,EA,1,100,0.030105
1766881606.621777,52226.000,6587,2,EA,1,100,0.030105
1766881511.108145,52293.000,6603,1,EA,1,100,0.030105
1766881416.307302,52359.500,6619,2,EA,1,100,0.030105
1766881321.506458,52426.000,6619,2,EA,1,100,0.030105
1766881226.705615,52492.500,6635,2,EA,1,100,0.030105
1766881131.904771,52559.000,6635,2,EA,1,100,0.030105
1766881036.391139,52626.000,6657,1,EA,1,100,0.030105
1766880941.590296,52692.500,6673,2,EA,1,100,0.030105
1766880846.789452,52759.000,6673,2,EA,1,100,0.030105
1766880751.275820,52826.000,6691,1,EA,1,100,0.030105
1766880656.474977,52892.500,6705,2,EA,1,100,0.030105
1766880561.674133,52959.000,6705,2,EA,1,100,0.030105
1766880466.160501,53026.000,6722,1,EA,1,100,0.030105
1766880371.359658,53092.500,6739,2,EA,1,100,0.030105
1766880276.558815,53159.000,6739,2,EA,1,100,0.030105
1766880181.045183,53226.000,6756,1,EA,1,100,0.030105
1766880086.244339,53292.500,6770,2,EA,1,100,0.030105
1766879991.443496,53359.000,6770,2,EA,1,100,0.030105
1766879895.929864,53426.000,6787,1,EA,1,100,0.030105
1766879801.129020,53492.500,6804,2,EA,1,100,0.030105
1766879706.328177,53559.000,6804,2,EA,1,100,0.030105
1766879610.814545,53626.000,6821,1,EA,1,100,0.030105
1766879516.013702,53692.500,6835,2,EA,1,100,0.030105
1766879421.212858,53759.000,6835,2,EA,1,100,0.030105
1766879325.699226,53826.000,6853,1,EA,1,100,0.030105
1766879230.898383,53892.500,6869,2,EA,1,100,0.030106
1766879136.097539,53959.000,6869,2,EA,1,100,0.030105
1766879040.583908,54026.000,6886,1,EA,1,100,0.030106
1766878945.783064,54092.500,6901,2,EA,1,100,0.030106
1766878850.982221,54159.000,6901,2,EA,1,100,0.030105
1766878755.468589,54226.000,6918,1,EA,1,100,0.030105
1766878660.667745,54292.500,6934,2,EA,1,100,0.030105
1766878565.866902,54359.000,6934,2,EA,1,100,0.030105
1766878470.353270,54426.000,6951,1,EA,1,100,0.030105
1766878375.552426,54492.500,6967,2,EA,1,100,0.030105
1766878280.751583,54559.000,6967,2,EA,1,100,0.030105
1766878185.950739,54625.500,6983,2,EA,1,100,0.030106
1766878091.149896,54692.000,6983,2,EA,1,100,0.030105
1766877995.636264,54759.000,6999,1,EA,1,100,0.030105
1766877900.835421,54825.500,7017,2,EA,1,100,0.030105
1766877806.034577,54892.000,7017,2,EA,1,100,0.030105
1766877710.520945,54959.000,7033,1,EA,1,100,0.030105
1766877615.720102,55025.500,7048,2,EA,1,100,0.030105
1766877520.919258,55092.000,7048,2,EA,1,100,0.030105
1766877425.405627,55159.000,7065,1,EA,1,100,0.030105
1766877330.604783,55225.500,7082,2,EA,1,100,0.030105
1766877235.803940,55292.000,7082,2,EA,1,100,0.030105
1766877140.290308,55359.000,7098,1,EA,1,100,0.030105
1766877045.489464,55425.500,7114,2,EA,1,100,0.030105
1766876950.688621,55492.000,7114,2,EA,1,100,0.030105
1766876855.174989,55559.000,7130,1,EA,1,100,0.030105
1766876760.374145,55625.500,7147,2,EA,1,100,0.030105
1766876665.573302,55692.000,7147,2,EA,1,100,0.030105
1766876570.059670,55759.000,7165,1,EA,1,100,0.030105
1766876475.258826,55825.500,7181,2,EA,1,100,0.030105
1766876380.457983,55892.000,7181,2,EA,1,100,0.030105
1766876284.944351,55959.000,7197,1,EA,1,100,0.030105
1766876190.143508,56025.500,7214,2,EA,1,100,0.030105
1766876095.342664,56092.000,7214,2,EA,1,100,0.030105
1766875999.829032,56159.000,7231,1,EA,1,100,0.030105
1766875905.028189,56225.500,7249,2,EA,1,100,0.030106
1766875810.227345,56292.000,7249,2,EA,1,100,0.030106
1766875715.426502,56358.500,7264,2,EA,1,100,0.030106
