LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1766633921.952438,59823.000,7648,2,EL,1,100,-14700.599609
1766633922.019433,59890.000,7664,1,EL,1,100,-14700.799805
1766633922.085927,59956.500,7681,2,EL,1,100,-14699.400391
1766633922.152422,60023.000,7681,2,EL,1,100,-14696.599609
1766633922.218416,60089.000,7698,1,EL,1,100,-14693.400391
1766633922.285411,60156.000,7713,2,EL,1,100,-14692.400391
1766633922.352406,60223.000,7713,2,EL,1,100,-14698.000000
1766633922.418400,60289.000,7729,1,EL,1,100,-14706.200195
1766633922.485395,60356.000,7747,2,EL,1,100,-14702.799805
1766633922.552389,60423.000,7747,2,EL,1,100,-14689.599609
1766633922.618384,60489.000,7763,1,EL,1,100,-14686.799805
1766633922.685379,60556.000,7781,2,EL,1,100,-14695.799805
1766633922.752373,60623.000,7781,2,EL,1,100,-14681.599609
1766633922.818868,60689.500,7797,2,EL,1,100,-14696.599609
1766633922.885363,60756.000,7797,2,EL,1,100,-14733.200195
1766633922.952357,60823.000,7814,1,EL,1,100,-14737.000000
1766633923.018852,60889.500,7830,2,EL,1,100,-14658.400391
1766633923.085346,60956.000,7830,2,EL,1,100,-14584.400391
1766633923.152341,61023.000,7847,1,EL,1,100,-14557.599609
1766633923.218836,61089.500,7862,2,EL,1,100,-14534.400391
1766633923.285330,61156.000,7862,2,EL,1,100,-14520.599609
1766633923.352325,61223.000,7879,1,EL,1,100,-14515.400391
1766633923.418819,61289.500,7895,2,EL,1,100,-14501.599609
1766633923.485314,61356.000,7895,2,EL,1,100,-14495.200195
1766633923.552309,61423.000,7913,1,EL,1,100,-14494.200195
1766633923.618803,61489.500,7929,2,EL,1,100,-14507.599609
1766633923.685298,61556.000,7929,2,EL,1,100,-14515.200195
1766633923.752292,61623.000,7946,1,EL,1,100,-14522.799805
1766633923.818787,61689.500,7963,2,EL,1,100,-14502.799805
1766633923.885282,61756.000,7963,2,EL,1,100,-14472.799805
1766633923.952276,61823.000,7982,1,EL,1,100,-14482.200195
1766633924.018771,61889.500,7996,2,EL,1,100,-14512.599609
1766633924.085265,61956.000,7996,2,EL,1,100,-14514.200195
1766633924.152260,62023.000,8013,1,EL,1,100,-14495.200195
1766633924.218755,62089.500,8030,2,EL,1,100,-14490.799805
1766633924.285249,62156.000,8030,2,EL,1,100,-14524.000000
1766633924.352244,62223.000,8047,1,EL,1,100,-14560.599609
1766633924.418739,62289.500,8061,2,EL,1,100,-14561.200195
1766633924.485233,62356.000,8061,2,EL,1,100,-14522.200195
1766633924.551228,62422.000,8081,1,EL,1,100,-14490.799805
1766633924.618222,62489.000,8098,2,EL,1,100,-14445.000000
1766633924.685217,62556.000,8098,2,EL,1,100,-14543.599609
