LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1766715434.990847,19047.000,1036,3,MZ,1,100,16
1766715435.030847,19087.000,1054,2,MZ,1,100,16
1766715435.070847,19127.000,1054,2,MZ,1,100,17
1766715435.110847,19167.000,1070,3,MZ,1,100,15
1766715435.150847,19207.000,1070,3,MZ,1,100,15
1766715435.190847,19247.000,1070,3,MZ,1,100,15
1766715435.230847,19287.000,1087,2,MZ,1,100,16
1766715435.270847,19327.000,1087,2,MZ,1,100,15
1766715435.310847,19367.000,1104,3,MZ,1,100,15
1766715435.350847,19407.000,1104,3,MZ,1,100,15
1766715435.390847,19447.000,1104,3,MZ,1,100,15
1766715435.430847,19487.000,1121,2,MZ,1,100,16
1766715435.470847,19527.000,1121,2,MZ,1,100,15
1766715435.510847,19567.000,1137,3,MZ,1,100,15
1766715435.550847,19607.000,1137,3,MZ,1,100,16
1766715435.590847,19647.000,1137,3,MZ,1,100,16
1766715435.624347,19680.500,1155,2,MZ,1,100,15
1766715435.657847,19714.000,1155,2,MZ,1,100,15
1766715435.697847,19754.000,1172,3,MZ,1,100,15
1766715435.737847,19794.000,1172,3,MZ,1,100,15
1766715435.777847,19834.000,1172,3,MZ,1,100,14
1766715435.817847,19874.000,1189,3,MZ,1,100,15
1766715435.857847,19914.000,1189,3,MZ,1,100,14
1766715435.897847,19954.000,1189,3,MZ,1,100,16
1766715435.937847,19994.000,1205,2,MZ,1,100,15
1766715435.977847,20034.000,1205,2,MZ,1,100,16
1766715436.017847,20074.000,1222,3,MZ,1,100,15
1766715436.057847,20114.000,1222,3,MZ,1,100,15
1766715436.097847,20154.000,1222,3,MZ,1,100,15
1766715436.137847,20194.000,1237,2,MZ,1,100,15
1766715436.177847,20234.000,1237,2,MZ,1,100,15
1766715436.217847,20274.000,1254,3,MZ,1,100,15
1766715436.257847,20314.000,1254,3,MZ,1,100,15
1766715436.297847,20354.000,1254,3,MZ,1,100,15
1766715436.337847,20394.000,1271,2,MZ,1,100,15
1766715436.377847,20434.000,1271,2,MZ,1,100,15
1766715436.417514,20473.667,1287,3,MZ,1,100,14
1766715436.457181,20513.333,1287,3,MZ,1,100,15
1766715436.496847,20553.000,1287,3,MZ,1,100,14
1766715436.532514,20588.667,1304,3,MZ,1,100,14
1766715436.568181,20624.333,1304,3,MZ,1,100,15
1766715436.603847,20660.000,1304,3,MZ,1,100,15
1766715436.643847,20700.000,1322,2,MZ,1,100,14
1766715436.683847,20740.000,1322,2,MZ,1,100,13
1766715436.723847,20780.000,1338,3,MZ,1,100,14
1766715436.763847,20820.000,1338,3,MZ,1,100,14
1766715436.803847,20860.000,1338,3,MZ,1,100,15
1766715436.843847,20900.000,1355,2,MZ,1,100,14
1766715436.883847,20940.000,1355,2,MZ,1,100,14
1766715436.923847,20980.000,1369,3,MZ,1,100,14
1766715436.963847,21020.000,1369,3,MZ,1,100,15
1766715437.003847,21060.000,1369,3,MZ,1,100,15
1766715437.043847,21100.000,1387,2,MZ,1,100,14
1766715437.083847,21140.000,1387,2,MZ,1,100,14
1766715437.121097,21177.250,1403,4,MZ,1,100,14
1766715437.158347,21214.500,1403,4,MZ,1,100,14
1766715437.195597,21251.750,1403,4,MZ,1,100,14
1766715437.232847,21289.000,1403,4,MZ,1,100,14
1766715437.274847,21331.000,1420,2,MZ,1,100,14
1766715437.316847,21373.000,1420,2,MZ,1,100,16
1766715437.356847,21413.000,1438,3,MZ,1,100,15
1766715437.396847,21453.000,1438,3,MZ,1,100,15
1766715437.436847,21493.000,1438,3,MZ,1,100,16
1766715437.476847,21533.000,1454,2,MZ,1,100,15
1766715437.516847,21573.000,1454,2,MZ,1,100,15
1766715437.556847,21613.000,1470,3,MZ,1,100,16
1766715437.596847,21653.000,1470,3,MZ,1,100,16
1766715437.636847,21693.000,1470,3,MZ,1,100,16
1766715437.676847,21733.000,1488,2,MZ,1,100,16
1766715437.716847,21773.000,1488,2,MZ,1,100,14
1766715437.752847,21809.000,1506,3,MZ,1,100,15
1766715437.788847,21845.000,1506,3,MZ,1,100,14
1766715437.824847,21881.000,1506,3,MZ,1,100,15
1766715437.864847,21921.000,1521,3,MZ,1,100,14
