LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1766633908.542522,46412.000,5471,3,AY,1,100,0.847
1766633908.582519,46452.000,5485,2,AY,1,100,0.850
1766633908.622516,46492.000,5485,2,AY,1,100,0.853
1766633908.657846,46527.333,5502,3,AY,1,100,0.841
1766633908.693177,46562.667,5502,3,AY,1,100,0.850
1766633908.728507,46598.000,5502,3,AY,1,100,0.847
1766633908.768504,46638.000,5518,3,AY,1,100,0.845
1766633908.808501,46678.000,5518,3,AY,1,100,0.854
1766633908.848498,46718.000,5518,3,AY,1,100,0.851
1766633908.888494,46758.000,5538,2,AY,1,100,0.862
1766633908.928491,46798.000,5538,2,AY,1,100,0.847
1766633908.968488,46838.000,5552,3,AY,1,100,0.850
1766633909.008485,46878.000,5552,3,AY,1,100,0.844
1766633909.048481,46918.000,5552,3,AY,1,100,0.851
1766633909.088478,46958.000,5569,3,AY,1,100,0.859
1766633909.128475,46998.000,5569,3,AY,1,100,0.857
1766633909.168472,47038.000,5569,3,AY,1,100,0.854
1766633909.208468,47078.000,5586,2,AY,1,100,0.848
1766633909.248465,47118.000,5586,2,AY,1,100,0.853
1766633909.288462,47158.000,5603,3,AY,1,100,0.852
1766633909.328459,47198.000,5603,3,AY,1,100,0.847
1766633909.368456,47238.000,5603,3,AY,1,100,0.842
1766633909.408452,47278.000,5617,2,AY,1,100,0.848
1766633909.448449,47318.000,5617,2,AY,1,100,0.847
1766633909.484113,47353.667,5635,3,AY,1,100,0.861
1766633909.519777,47389.333,5635,3,AY,1,100,0.853
1766633909.555440,47425.000,5635,3,AY,1,100,0.850
1766633909.595437,47465.000,5651,3,AY,1,100,0.853
1766633909.635434,47505.000,5651,3,AY,1,100,0.851
1766633909.675431,47545.000,5651,3,AY,1,100,0.860
1766633909.715428,47585.000,5668,2,AY,1,100,0.848
1766633909.755424,47625.000,5668,2,AY,1,100,0.849
1766633909.795421,47665.000,5682,2,AY,1,100,0.856
1766633909.835418,47705.000,5682,2,AY,1,100,0.845
1766633909.875415,47745.000,5700,3,AY,1,100,0.849
1766633909.915411,47785.000,5700,3,AY,1,100,0.848
1766633909.955408,47825.000,5700,3,AY,1,100,0.851
1766633909.995405,47865.000,5716,3,AY,1,100,0.857
1766633910.035402,47905.000,5716,3,AY,1,100,0.854
1766633910.075398,47945.000,5716,3,AY,1,100,0.858
1766633910.115395,47985.000,5733,2,AY,1,100,0.843
1766633910.155392,48025.000,5733,2,AY,1,100,0.853
1766633910.195389,48065.000,5749,3,AY,1,100,0.847
1766633910.235385,48105.000,5749,3,AY,1,100,0.846
1766633910.275382,48145.000,5749,3,AY,1,100,0.852
1766633910.310713,48180.333,5765,3,AY,1,100,0.849
1766633910.346043,48215.667,5765,3,AY,1,100,0.853
1766633910.381374,48251.000,5765,3,AY,1,100,0.859
1766633910.421371,48291.000,5781,2,AY,1,100,0.839
1766633910.461367,48331.000,5781,2,AY,1,100,0.847
1766633910.501364,48371.000,5799,3,AY,1,100,0.846
