LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1766715729.020847,313077,48972,1,SR,1,100,0.066667
1766715731.353847,315410,49389,1,SR,1,100,0.200000
1766715731.820847,315877,49456,1,SR,1,100,0.133333
1766715735.219847,319276,50002,1,SR,1,100,0.133333
1766715736.552847,320609,50221,1,SR,1,100,0.066667
1766715741.765847,325822,51070,1,SR,1,100,0.066667
1766715742.632847,326689,51204,1,SR,1,100,0.066667
1766715743.099847,327156,51293,1,SR,1,100,0.066667
1766715749.631847,333688,52358,1,SR,1,100,0.066667
1766715750.631847,334688,52528,1,SR,1,100,0.066667
1766715752.364847,336421,52811,1,SR,1,100,0.066667
1766715752.697847,336754,52882,1,SR,1,100,0.066667
1766715753.571847,337628,53036,1,SR,1,100,0.133333
1766715756.037847,340094,53433,1,SR,1,100,0.066667
1766715756.237847,340294,53470,1,SR,1,100,0.066667
1766715757.170847,341227,53618,1,SR,1,100,0.066667
1766715759.577847,343634,54007,1,SR,1,100,0.066667
1766715765.510847,349567,55005,1,SR,1,100,0.200000
1766715767.709847,351766,55339,1,SR,1,100,0.066667
1766715768.177847,352234,55427,1,SR,1,100,0.066667
1766715770.843847,354900,55877,1,SR,1,100,0.133333
1766715771.243847,355300,55929,1,SR,1,100,0.066667
1766715773.709847,357766,56364,1,SR,1,100,0.200000
1766715775.109847,359166,56585,1,SR,1,100,0.133333
1766715778.575847,362632,57150,1,SR,1,100,0.133333
1766715779.375847,363432,57301,1,SR,1,100,0.266667
1766715784.708847,368765,58171,1,SR,1,100,0.266667
1766715790.380847,374437,59088,1,SR,1,100,0.133333
1766715790.648847,374705,59140,1,SR,1,100,0.200000
1766715791.114847,375171,59207,1,SR,1,100,0.066667
1766715792.381847,376438,59426,1,SR,1,100,0.133333
1766715792.981847,377038,59511,1,SR,1,100,0.066667
1766715797.047847,381104,60189,1,SR,1,100,0.133333
1766715797.713847,381770,60292,1,SR,1,100,0.133333
1766715804.126847,388183,61426,1,SR,1,100,0.666667
1766715805.459847,389516,61615,1,SR,1,100,0.400000
1766715805.993847,390050,61665,1,SR,1,100,0.133333
1766715806.792847,390849,61867,1,SR,1,100,0.600000
1766715808.059847,392116,62071,1,SR,1,100,0.533333
1766715809.325847,393382,62272,1,SR,1,100,0.466667
1766715810.525847,394582,62443,1,SR,1,100,0.333333
1766715811.525847,395582,62660,1,SR,1,100,0.600000
1766715812.992847,397049,62848,1,SR,1,100,0.333333
1766715814.058847,398115,63047,1,SR,1,100,0.400000
1766715815.191847,399248,63218,1,SR,1,100,0.333333
1766715816.391847,400448,63400,1,SR,1,100,0.266667
1766715817.592847,401649,63637,1,SR,1,100,0.466667
1766715818.793847,402850,63840,1,SR,1,100,0.466667
1766715819.991847,404048,63993,1,SR,1,100,0.200000
1766715823.730847,407787,64606,1,SR,1,100,0.200000
1766715852.774847,436831,3750,1,SR,1,100,0.066667
1766715869.992847,454049,6580,1,SR,1,100,0.066667
1766715876.065847,460122,7568,1,SR,1,100,0.066667
1766715880.071847,464128,8218,1,SR,1,100,0.133333
1766715881.138847,465195,8403,1,SR,1,100,0.133333
1766715895.804847,479861,10804,1,SR,1,100,0.200000
1766715898.470847,482527,11241,1,SR,1,100,0.133333
1766715903.609847,487666,12052,1,SR,1,100,0.066667
1766715922.887847,506944,15189,1,SR,1,100,0.066667
1766715929.486847,513543,16265,1,SR,1,100,0.066667
1766715934.553847,518610,17097,1,SR,1,100,0.066667
1766715935.219847,519276,17215,1,SR,1,100,0.066667
1766715936.019847,520076,17349,1,SR,1,100,0.133333
1766715940.153847,524210,18016,1,SR,1,100,0.066667
1766715940.885847,524942,18136,1,SR,1,100,0.066667
1766715946.818847,530875,19121,1,SR,1,100,0.066667
1766715948.951847,533008,19472,1,SR,1,100,0.133333
1766715949.485847,533542,19558,1,SR,1,100,0.066667
1766715953.484847,537541,20241,1,SR,1,100,0.266667
1766715957.618847,541675,20903,1,SR,1,100,0.133333
1766715959.483847,543540,21189,1,SR,1,100,0.066667
1766715960.423847,544480,21343,1,SR,1,100,0.066667
1766715961.491847,545548,21546,1,SR,1,100,0.133333
