LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1766715440.717847,24774.000,1969,2,PI,1,100,164556
1766715440.757847,24814.000,1969,2,PI,1,100,164558
1766715440.797847,24854.000,1985,3,PI,1,100,164553
1766715440.837847,24894.000,1985,3,PI,1,100,164572
1766715440.877847,24934.000,1985,3,PI,1,100,164567
1766715440.917847,24974.000,2000,2,PI,1,100,164556
1766715440.957847,25014.000,2000,2,PI,1,100,164560
1766715440.997847,25054.000,2017,3,PI,1,100,164596
1766715441.037847,25094.000,2017,3,PI,1,100,164611
1766715441.077847,25134.000,2017,3,PI,1,100,164686
1766715441.117847,25174.000,2034,3,PI,1,100,164746
1766715441.157847,25214.000,2034,3,PI,1,100,164634
1766715441.197847,25254.000,2034,3,PI,1,100,164464
1766715441.237847,25294.000,2050,2,PI,1,100,164175
1766715441.277847,25334.000,2050,2,PI,1,100,164122
1766715441.317847,25374.000,2066,3,PI,1,100,163997
1766715441.357847,25414.000,2066,3,PI,1,100,163758
1766715441.397847,25454.000,2066,3,PI,1,100,163461
1766715441.437847,25494.000,2082,2,PI,1,100,163266
1766715441.477847,25534.000,2082,2,PI,1,100,163144
1766715441.517847,25574.000,2099,3,PI,1,100,162926
1766715441.557847,25614.000,2099,3,PI,1,100,162826
1766715441.597847,25654.000,2099,3,PI,1,100,162743
1766715441.637847,25694.000,2115,2,PI,1,100,162672
1766715441.677847,25734.000,2115,2,PI,1,100,162666
1766715441.717847,25774.000,2131,3,PI,1,100,162634
1766715441.757847,25814.000,2131,3,PI,1,100,162577
1766715441.797847,25854.000,2131,3,PI,1,100,162495
1766715441.837847,25894.000,2147,2,PI,1,100,162598
1766715441.877847,25934.000,2147,2,PI,1,100,162768
1766715441.917847,25974.000,2166,3,PI,1,100,162925
1766715441.957847,26014.000,2166,3,PI,1,100,163051
1766715441.997847,26054.000,2166,3,PI,1,100,163119
1766715442.037847,26094.000,2183,2,PI,1,100,163184
1766715442.077847,26134.000,2183,2,PI,1,100,163349
1766715442.117847,26174.000,2199,3,PI,1,100,163589
1766715442.157847,26214.000,2199,3,PI,1,100,163804
1766715442.197847,26254.000,2199,3,PI,1,100,163907
1766715442.237847,26294.000,2214,2,PI,1,100,163957
1766715442.277847,26334.000,2214,2,PI,1,100,163967
1766715442.317514,26373.667,2232,3,PI,1,100,163917
1766715442.357180,26413.333,2232,3,PI,1,100,163910
1766715442.396847,26453.000,2232,3,PI,1,100,163897
1766715442.436847,26493.000,2248,3,PI,1,100,163902
1766715442.476847,26533.000,2248,3,PI,1,100,163900
1766715442.516847,26573.000,2248,3,PI,1,100,163940
1766715442.556847,26613.000,2265,2,PI,1,100,163952
1766715442.596847,26653.000,2265,2,PI,1,100,163950
1766715442.637180,26693.333,2280,3,PI,1,100,163970
1766715442.677514,26733.667,2280,3,PI,1,100,163999
1766715442.717847,26774.000,2280,3,PI,1,100,163966
1766715442.757347,26813.500,2299,2,PI,1,100,163913
1766715442.796847,26853.000,2299,2,PI,1,100,163867
1766715442.836847,26893.000,2315,3,PI,1,100,163836
1766715442.876847,26933.000,2315,3,PI,1,100,163804
1766715442.916847,26973.000,2315,3,PI,1,100,163799
1766715442.956847,27013.000,2332,2,PI,1,100,163784
1766715442.996847,27053.000,2332,2,PI,1,100,163871
1766715443.036847,27093.000,2349,3,PI,1,100,163852
1766715443.076847,27133.000,2349,3,PI,1,100,163943
1766715443.116847,27173.000,2349,3,PI,1,100,163985
1766715443.156847,27213.000,2366,2,PI,1,100,163986
1766715443.196847,27253.000,2366,2,PI,1,100,164004
1766715443.241514,27297.667,2382,3,PI,1,100,164056
