LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1766633908.808501,46678.000,5520,3,GX,1,100,0.153
1766633908.848498,46718.000,5520,3,GX,1,100,0.458
1766633908.888494,46758.000,5540,2,GX,1,100,0.244
1766633908.928491,46798.000,5540,2,GX,1,100,0.061
1766633908.968488,46838.000,5554,3,GX,1,100,-0.610
1766633909.008485,46878.000,5554,3,GX,1,100,-0.427
1766633909.048481,46918.000,5554,3,GX,1,100,0.305
1766633909.088478,46958.000,5571,3,GX,1,100,0.275
1766633909.128475,46998.000,5571,3,GX,1,100,0.610
1766633909.168472,47038.000,5571,3,GX,1,100,0.336
1766633909.208468,47078.000,5588,2,GX,1,100,0.000
1766633909.248465,47118.000,5588,2,GX,1,100,0.031
1766633909.288462,47158.000,5605,3,GX,1,100,0.153
1766633909.328459,47198.000,5605,3,GX,1,100,0.336
1766633909.368456,47238.000,5605,3,GX,1,100,0.671
1766633909.408452,47278.000,5619,2,GX,1,100,-0.244
1766633909.448449,47318.000,5619,2,GX,1,100,0.549
1766633909.484113,47353.667,5637,3,GX,1,100,-0.061
1766633909.519777,47389.333,5637,3,GX,1,100,-0.732
1766633909.555440,47425.000,5637,3,GX,1,100,0.610
1766633909.595437,47465.000,5653,3,GX,1,100,0.916
1766633909.635434,47505.000,5653,3,GX,1,100,0.763
1766633909.675431,47545.000,5653,3,GX,1,100,0.275
1766633909.715428,47585.000,5670,2,GX,1,100,0.519
1766633909.755424,47625.000,5670,2,GX,1,100,0.305
1766633909.795421,47665.000,5684,2,GX,1,100,0.366
1766633909.835418,47705.000,5684,2,GX,1,100,-0.702
1766633909.875415,47745.000,5702,3,GX,1,100,-0.885
1766633909.915411,47785.000,5702,3,GX,1,100,0.122
1766633909.955408,47825.000,5702,3,GX,1,100,-0.275
1766633909.995405,47865.000,5718,3,GX,1,100,-0.793
1766633910.035402,47905.000,5718,3,GX,1,100,-0.427
1766633910.075398,47945.000,5718,3,GX,1,100,0.183
1766633910.115395,47985.000,5735,2,GX,1,100,0.244
1766633910.155392,48025.000,5735,2,GX,1,100,-0.916
1766633910.195389,48065.000,5751,3,GX,1,100,-0.214
1766633910.235385,48105.000,5751,3,GX,1,100,0.854
1766633910.275382,48145.000,5751,3,GX,1,100,0.000
