LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1766633909.062480,46932.000,5547,3,PR,1,100,145905
1766633909.102477,46972.000,5562,2,PR,1,100,145970
1766633909.142474,47012.000,5562,2,PR,1,100,146008
1766633909.188970,47058.500,5579,2,PR,1,100,146055
1766633909.235466,47105.000,5579,2,PR,1,100,146100
1766633909.275463,47145.000,5596,3,PR,1,100,146160
1766633909.315460,47185.000,5596,3,PR,1,100,146168
1766633909.355457,47225.000,5596,3,PR,1,100,146175
1766633909.395453,47265.000,5612,2,PR,1,100,146220
1766633909.435450,47305.000,5612,2,PR,1,100,146224
1766633909.475447,47345.000,5628,3,PR,1,100,146247
1766633909.515444,47385.000,5628,3,PR,1,100,146204
1766633909.555440,47425.000,5628,3,PR,1,100,146047
1766633909.595937,47465.500,5644,2,PR,1,100,146018
1766633909.636434,47506.000,5644,2,PR,1,100,146138
1766633909.676097,47545.667,5661,3,PR,1,100,146361
1766633909.715761,47585.333,5661,3,PR,1,100,146503
1766633909.755424,47625.000,5661,3,PR,1,100,146601
1766633909.795421,47665.000,5677,3,PR,1,100,146712
1766633909.835418,47705.000,5677,3,PR,1,100,146752
1766633909.875415,47745.000,5677,3,PR,1,100,146580
1766633909.915411,47785.000,5693,2,PR,1,100,146357
1766633909.955408,47825.000,5693,2,PR,1,100,146107
1766633909.995405,47865.000,5709,3,PR,1,100,146070
1766633910.035402,47905.000,5709,3,PR,1,100,146168
1766633910.075398,47945.000,5709,3,PR,1,100,146428
1766633910.115395,47985.000,5726,2,PR,1,100,146574
1766633910.155392,48025.000,5726,2,PR,1,100,146719
1766633910.195389,48065.000,5743,3,PR,1,100,146856
1766633910.235385,48105.000,5743,3,PR,1,100,146917
1766633910.275382,48145.000,5743,3,PR,1,100,147144
1766633910.315379,48185.000,5759,2,PR,1,100,147338
1766633910.355376,48225.000,5759,2,PR,1,100,147212
1766633910.395373,48265.000,5774,3,PR,1,100,147296
1766633910.435369,48305.000,5774,3,PR,1,100,147424
1766633910.475366,48345.000,5774,3,PR,1,100,147407
1766633910.515363,48385.000,5792,2,PR,1,100,147192
1766633910.555360,48425.000,5792,2,PR,1,100,147121
1766633910.595356,48465.000,5808,3,PR,1,100,147332
1766633910.635353,48505.000,5808,3,PR,1,100,147643
1766633910.675350,48545.000,5808,3,PR,1,100,147864
