LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1766633909.368456,47238.000,5607,3,GZ,1,100,-0.214
1766633909.408452,47278.000,5621,2,GZ,1,100,-0.397
1766633909.448449,47318.000,5621,2,GZ,1,100,-0.916
1766633909.484113,47353.667,5639,3,GZ,1,100,-1.038
1766633909.519777,47389.333,5639,3,GZ,1,100,-0.641
1766633909.555440,47425.000,5639,3,GZ,1,100,0.305
1766633909.595437,47465.000,5655,3,GZ,1,100,-0.305
1766633909.635434,47505.000,5655,3,GZ,1,100,0.244
1766633909.675431,47545.000,5655,3,GZ,1,100,0.244
1766633909.715428,47585.000,5672,2,GZ,1,100,0.366
1766633909.755424,47625.000,5672,2,GZ,1,100,0.702
1766633909.795421,47665.000,5686,2,GZ,1,100,-0.031
1766633909.835418,47705.000,5686,2,GZ,1,100,-0.488
1766633909.875415,47745.000,5704,3,GZ,1,100,-1.099
1766633909.915411,47785.000,5704,3,GZ,1,100,-3.265
1766633909.955408,47825.000,5704,3,GZ,1,100,-2.838
1766633909.995405,47865.000,5720,3,GZ,1,100,-1.190
1766633910.035402,47905.000,5720,3,GZ,1,100,-0.641
1766633910.075398,47945.000,5720,3,GZ,1,100,-1.129
1766633910.115395,47985.000,5737,2,GZ,1,100,-0.366
1766633910.155392,48025.000,5737,2,GZ,1,100,-0.122
1766633910.195389,48065.000,5753,3,GZ,1,100,-1.801
1766633910.235385,48105.000,5753,3,GZ,1,100,-2.411
1766633910.275382,48145.000,5753,3,GZ,1,100,-2.045
1766633910.310713,48180.333,5769,3,GZ,1,100,-3.265
1766633910.346043,48215.667,5769,3,GZ,1,100,-2.777
1766633910.381374,48251.000,5769,3,GZ,1,100,-0.122
1766633910.421371,48291.000,5785,2,GZ,1,100,1.129
1766633910.461367,48331.000,5785,2,GZ,1,100,0.580
1766633910.501364,48371.000,5803,3,GZ,1,100,-0.214
1766633910.541361,48411.000,5803,3,GZ,1,100,-0.763
1766633910.581357,48451.000,5803,3,GZ,1,100,-0.458
1766633910.621354,48491.000,5819,2,GZ,1,100,-0.793
1766633910.661351,48531.000,5819,2,GZ,1,100,0.000
1766633910.701348,48571.000,5834,3,GZ,1,100,0.153
1766633910.741345,48611.000,5834,3,GZ,1,100,0.061
1766633910.781341,48651.000,5834,3,GZ,1,100,0.549
