LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1766863786.558436,47043.000,5744,1,TH,1,100,27.176
1766863786.691518,47176.000,5762,1,TH,1,100,27.176
1766863786.825600,47310.000,5793,1,TH,1,100,27.079
1766863786.958682,47443.000,5809,1,TH,1,100,27.080
1766863787.091764,47576.000,5827,1,TH,1,100,27.149
1766863787.224846,47709.000,5858,1,TH,1,100,27.149
1766863787.358928,47843.000,5875,1,TH,1,100,27.067
1766863787.492010,47976.000,5892,1,TH,1,100,27.067
1766863787.625092,48109.000,5908,1,TH,1,100,27.118
1766863787.759175,48243.000,5940,1,TH,1,100,27.118
1766863787.892257,48376.000,5957,1,TH,1,100,27.107
1766863788.026339,48510.000,5976,1,TH,1,100,27.107
1766863788.159421,48643.000,6007,1,TH,1,100,27.074
1766863788.292503,48776.000,6028,1,TH,1,100,27.081
1766863788.425585,48909.000,6045,1,TH,1,100,27.096
1766863788.559668,49043.000,6061,1,TH,1,100,27.089
1766863788.692750,49176.000,6079,1,TH,1,100,27.118
1766863788.825831,49309.000,6110,1,TH,1,100,27.118
1766863788.959914,49443.000,6126,1,TH,1,100,27.069
1766863789.092996,49576.000,6144,1,TH,1,100,27.076
1766863789.226078,49709.000,6177,1,TH,1,100,27.168
1766863789.360160,49843.000,6194,1,TH,1,100,27.168
1766863789.493242,49976.000,6211,1,TH,1,100,27.126
1766863789.626324,50109.000,6227,1,TH,1,100,27.126
1766863789.760407,50243.000,6259,1,TH,1,100,27.130
1766863789.893489,50376.000,6276,1,TH,1,100,27.130
1766863790.026571,50509.000,6293,1,TH,1,100,27.175
1766863790.160653,50643.000,6324,1,TH,1,100,27.182
1766863790.293735,50776.000,6341,1,TH,1,100,26.982
1766863790.426817,50909.000,6358,1,TH,1,100,26.982
1766863790.559899,51042.000,6389,1,TH,1,100,26.939
1766863790.693981,51176.000,6409,1,TH,1,100,26.946
1766863790.827063,51309.000,6427,1,TH,1,100,26.947
1766863790.960145,51442.000,6459,1,TH,1,100,26.947
1766863791.094228,51576.000,6476,1,TH,1,100,27.046
1766863791.227310,51709.000,6492,1,TH,1,100,27.046
1766863791.360392,51842.000,6524,1,TH,1,100,27.046
1766863791.494474,51976.000,6541,1,TH,1,100,27.046
1766863791.627556,52109.000,6557,1,TH,1,100,26.929
1766863791.760638,52242.000,6575,1,TH,1,100,26.936
1766863791.894721,52376.000,6608,1,TH,1,100,26.925
1766863792.027802,52509.000,6625,1,TH,1,100,26.925
1766863792.160884,52642.000,6642,1,TH,1,100,27.020
1766863792.294967,52776.000,6676,1,TH,1,100,27.013
1766863792.428049,52909.000,6692,1,TH,1,100,27.075
1766863792.561131,53042.000,6709,1,TH,1,100,27.068
1766863792.695213,53176.000,6741,1,TH,1,100,27.084
1766863792.828295,53309.000,6757,1,TH,1,100,27.084
1766863792.961377,53442.000,6774,1,TH,1,100,27.199
1766863793.095460,53576.000,6806,1,TH,1,100,27.199
1766863793.228542,53709.000,6822,1,TH,1,100,27.192
1766863793.361624,53842.000,6840,1,TH,1,100,27.192
1766863793.494705,53975.000,6857,1,TH,1,100,27.084
1766863793.628788,54109.000,6889,1,TH,1,100,27.084
1766863793.761870,54242.000,6906,1,TH,1,100,27.262
1766863793.894952,54375.000,6922,1,TH,1,100,27.262
1766863794.029034,54509.000,6940,1,TH,1,100,27.188
1766863794.162116,54642.000,6971,1,TH,1,100,27.188
1766863794.295198,54775.000,6989,1,TH,1,100,27.279
1766863794.429281,54909.000,7005,1,TH,1,100,27.279
1766863794.562363,55042.000,7022,1,TH,1,100,27.133
1766863794.695445,55175.000,7039,1,TH,1,100,27.133
1766863794.829527,55309.000,7072,1,TH,1,100,27.221
1766863794.962609,55442.000,7089,1,TH,1,100,27.227
1766863795.095691,55575.000,7106,1,TH,1,100,27.147
1766863795.229773,55709.000,7125,1,TH,1,100,27.148
