device_id,recorded_at,value
MD-V6-0000547,2025-12-27 19:32:16.808923+00,57.12
MD-V6-0000547,2025-12-27 19:32:22.178228+00,46.91
MD-V6-0000547,2025-12-27 19:32:23.352952+00,47.98
MD-V6-0000547,2025-12-27 19:32:24.272518+00,51.81
MD-V6-0000547,2025-12-27 19:32:25.233109+00,54.19
MD-V6-0000547,2025-12-27 19:32:26.1937+00,56.03
MD-V6-0000547,2025-12-27 19:32:27.034218+00,59.46
MD-V6-0000547,2025-12-27 19:32:28.047842+00,59.58
MD-V6-0000547,2025-12-27 19:32:28.80831+00,63.88
MD-V6-0000547,2025-12-27 19:32:29.84895+00,62.51
MD-V6-0000547,2025-12-27 19:32:30.776521+00,63.11
MD-V6-0000547,2025-12-27 19:32:31.897211+00,60.99
MD-V6-0000547,2025-12-27 19:32:32.777753+00,62.59
MD-V6-0000547,2025-12-27 19:32:33.61827+00,64.55
MD-V6-0000547,2025-12-27 19:32:34.457787+00,66.08
MD-V6-0000547,2025-12-27 19:32:34.59187+00,162.51
MD-V6-0000547,2025-12-27 19:32:35.358341+00,143.94
MD-V6-0000547,2025-12-27 19:32:36.546073+00,123.06
MD-V6-0000547,2025-12-27 19:32:37.599721+00,108.54
MD-V6-0000547,2025-12-27 19:32:38.840485+00,95.17
MD-V6-0000547,2025-12-27 19:32:39.721027+00,89.17
MD-V6-0000547,2025-12-27 19:32:40.281372+00,93.17
MD-V6-0000547,2025-12-27 19:32:41.241963+00,86.35
MD-V6-0000547,2025-12-27 19:32:41.93539+00,86.77
MD-V6-0000547,2025-12-27 19:32:42.855957+00,81.98
MD-V6-0000547,2025-12-27 19:32:44.336868+00,72.77
MD-V6-0000547,2025-12-27 19:32:44.777139+00,86.9
MD-V6-0000547,2025-12-27 19:32:45.097337+00,109.26
MD-V6-0000547,2025-12-27 19:33:11.470571+00,85.49
MD-V6-0000547,2025-12-27 19:33:16.766831+00,69.01
MD-V6-0000547,2025-12-27 19:33:29.573714+00,54.72
MD-V6-0000547,2025-12-27 19:33:31.975193+00,48.12
MD-V6-0000547,2025-12-27 19:33:33.134906+00,48.92
MD-V6-0000547,2025-12-27 19:33:33.469112+00,79.72
MD-V6-0000547,2025-12-27 19:33:35.309245+00,69.25
MD-V6-0000547,2025-12-27 19:33:37.030304+00,61.61
MD-V6-0000547,2025-12-27 19:33:37.430551+00,81.25
MD-V6-0000547,2025-12-27 19:33:38.164002+00,81.72
MD-V6-0000547,2025-12-27 19:34:36.795093+00,63.78
MD-V6-0000547,2025-12-27 19:34:57.945112+00,50.24
MD-V6-0000547,2025-12-27 19:34:58.519465+00,62.89
MD-V6-0000547,2025-12-27 19:35:00.113446+00,57.25
MD-V6-0000547,2025-12-27 19:35:00.726824+00,66.75
MD-V6-0000547,2025-12-27 19:35:01.72744+00,65.25
MD-V6-0000547,2025-12-27 19:35:02.407859+00,70.36
MD-V6-0000547,2025-12-27 19:35:04.769312+00,60.37
MD-V6-0000547,2025-12-27 19:35:06.256228+00,55.96
MD-V6-0000547,2025-12-27 19:35:07.456967+00,54.64
MD-V6-0000547,2025-12-27 19:35:09.145006+00,50.43
MD-V6-0000547,2025-12-27 19:35:09.838433+00,58.83
MD-V6-0000547,2025-12-27 19:35:10.398778+00,69.57
MD-V6-0000547,2025-12-27 19:35:10.999147+00,76.33
MD-V6-0000547,2025-12-27 19:35:11.599517+00,81.59
MD-V6-0000547,2025-12-27 19:35:12.800256+00,74.57
MD-V6-0000547,2025-12-27 19:35:16.535555+00,61.58
MD-V6-0000547,2025-12-27 19:35:17.215974+00,67.51
MD-V6-0000547,2025-12-27 19:35:17.895392+00,72.11
MD-V6-0000547,2025-12-27 19:35:18.695885+00,72.75
MD-V6-0000547,2025-12-27 19:35:19.910633+00,67.7
MD-V6-0000547,2025-12-27 19:35:22.27809+00,58.3
MD-V6-0000547,2025-12-27 19:35:22.838435+00,69.16
MD-V6-0000547,2025-12-27 19:35:23.438805+00,76.01
MD-V6-0000547,2025-12-27 19:35:24.279322+00,74.99
MD-V6-0000547,2025-12-27 19:35:25.600135+00,68.43
MD-V6-0000547,2025-12-27 19:35:26.080431+00,81
MD-V6-0000547,2025-12-27 19:35:26.653784+00,86.81
MD-V6-0000547,2025-12-27 19:35:27.134079+00,95.3
MD-V6-0000547,2025-12-27 19:35:27.774473+00,94.95
MD-V6-0000547,2025-12-27 19:35:28.014621+00,129.41
MD-V6-0000547,2025-12-27 19:35:28.975213+00,114.54
